"Plot","Tag","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Year.absent.twice","Year.seedling.dead","Is.seedling","Notes"
"1","1071",197,187,-5,0,2022,NA,0,NA
"10","1783",92,20,-10,-10,2022,NA,0,NA
"12","2546",195,196.5,-5,-5,2022,NA,0,NA
"13","2595",154.5,33,-5,-5,2022,NA,0,NA
"14","152",78,68,-10,-10,2022,NA,0,NA
"14","2218",144,116,-4,-3,2022,NA,0,NA
"14","2760",64,51,-5,-5,2022,NA,0,NA
"16","2604",115,33,-5,-5,2022,NA,0,NA
"17","2687",8,51,-5,-5,2022,NA,0,NA
"17","2691",19,77,3,1,2022,NA,0,NA
"17","2692",25,82.5,0,13,2022,NA,0,NA
"17","2764",164,200,-5,-5,2022,NA,0,NA
"17","2859",37.5,97,5,0,2022,NA,0,NA
"17","290",24,89,-10,0,2022,NA,0,"1 clump"
"18","2684",167,86,-5,-5,2022,NA,0,NA
"19","2376",92,42,-10,-10,2022,NA,0,NA
"19","2445",105,81,0,-5,2022,NA,0,NA
"19","2658",66,25,-5,10,2022,NA,0,NA
"19","2660",70,28,0,5,2022,NA,0,NA
"19","2667",43,128,-5,-5,2022,NA,0,NA
"19","2670",121,82,-5,-5,2022,NA,0,NA
"19","2812",114,91,-5,-5,2022,NA,0,NA
"19","2860",55,11,-5,-5,2022,NA,0,NA
"20","1610",0,73,0,-33,2022,NA,0,NA
"20","2573",42,1,-14.5,-1,2022,NA,0,NA
"20","2575",2.5,4.5,-5,0,2022,NA,0,NA
"20","2576",3.5,14,-5,-5,2022,NA,0,NA
"20","2577",19,34,-5,5,2022,NA,0,NA
"20","2578",25,24,-5,-5,2022,NA,0,NA
"20","2619",13,162.5,-5,-5,2022,NA,0,NA
"20","2622",37,67,-5,-5,2022,NA,0,NA
"20","2624",4,95.5,0,5,2022,NA,0,NA
"20","2625",6,82,5,1,2022,NA,0,NA
"20","2626",13.5,55,5,-5,2022,NA,0,NA
"20","2627",17,64,5,-5,2022,NA,0,NA
"20","2813",29,36,-5,-5,2022,NA,0,NA
"20","2814",35,70,-5,-5,2022,NA,0,NA
"20","374",6,8,0,-10,2022,NA,0,"2 clumps"
"22","2716",164,5,-5,-5,2022,NA,0,"split base"
"22","2720",120,35,-5,-5,2022,NA,0,"Was probably ""I 3089"" when alive in 2020"
"22","2721",142,33,-5,-5,2022,NA,0,NA
"22","2723",114,25,-5,-5,2022,NA,0,"Was probably ""I 3089"" when alive in 2020"
"22","2725",118,34,6,0,2022,NA,0,"tag not found; tag not found in 2022 tag pull"
"22","2815",159,39,-5,-5,2022,NA,0,"tag not found; tag not found in 2022 tag pull"
"23","1903",185,97,-10,-10,2022,NA,0,NA
"23","2385",94,0,-5,0,2022,NA,0,"Silver tag from the old series found at (100, 0) in plot 23 and pulled"
"23","2703",90.5,3,-5,-5,2022,NA,0,NA
"23","2708",189,53,-5,-5,2022,NA,0,NA
"23","2711",193,61,0,6,2022,NA,0,NA
"24","2387",101,9.5,-10,0,2022,NA,0,NA
"24","2734",69.5,192.5,-6.5,-1,2022,NA,0,NA
"24","2735",62,166,-5,5,2022,NA,0,NA
"24","2816",2,105,-5,-5,2022,NA,0,NA
"27","2817",186,80,0,5,2022,NA,0,"Was inside 535"
"27","2819",102,19,-5,-5,2022,NA,0,NA
"27","2823",70,106,-5,-5,2022,NA,0,NA
"27","2825",7,166,-5,-5,2022,NA,0,NA
"27","2826",5,170,-5,-5,2022,NA,0,NA
"27","554",47,114,-5,-5,2022,NA,0,NA
"28","2827",20,4,-6,-3,2022,NA,0,NA
"28","2828",18,13,-1,-5,2022,NA,0,NA
"28","2829",21,16,5,0,2022,NA,0,NA
"28","2830",21,16,5,0,2022,NA,0,NA
"28","2831",44,18,-5,-5,2022,NA,0,NA
"28","2832",17,40,10,0,2022,NA,0,NA
"28","2833",45,50,-5,-5,2022,NA,0,"Was maybe CHADOU"
"28","2836",182,135,-10,0,2022,NA,0,NA
"28","2837",173,143,-5,-5,2022,NA,0,NA
"28","2838",78,130,-5,-5,2022,NA,0,NA
"28","603",138,107,-5,-5,2022,NA,0,NA
"29","1952",6,175,-10,-10,2022,NA,0,NA
"3","2526",92,109,-10,0,2022,NA,0,NA
"3","2527",102.5,109,0,-5,2022,NA,0,NA
"3","2757",97,129,0,10,2022,NA,0,NA
"31","1964",118,23,-10,-10,2022,NA,0,NA
"32","2773",123,140,-5,-5,2022,NA,0,"killed by cow"
"32","2774",122,151,-5,-5,2022,NA,0,"killed by cow"
"32","685",137,0,-10,0,2022,NA,0,NA
"32","688",125,146,-10,-10,2022,NA,0,"killed by cow"
"32","689",120,160,-10,-10,2022,NA,0,"killed by cow"
"33","1248",9,20,-10,-10,2022,NA,0,NA
"33","2499",133,194,2,0,2022,NA,0,NA
