"Plot","Tag","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Year.absent.twice","Year.seedling.dead","Is.seedling","Notes"
"33","2501",134,183,-5,-5,2022,NA,0,"27 Jan 2023: Leaving ID uncertain as 1 based on discussion to flag that there was uncertainty in 2019 that may not have been resolved in 2020"
"33","2504",170,84,-5,5,2022,NA,0,NA
"33","2776",106,190,0,5,2022,NA,0,NA
"33","2778",101,199,-5,-5,2022,NA,0,NA
"33","2843",7,36,-5,-5,2022,NA,0,NA
"33","2844",15,54,18,0,2022,NA,0,"All in Eriumb"
"33","2845",25,42,-5,-5,2022,NA,0,NA
"33","2846",139,47,-5,-5,2022,NA,0,NA
"33","2847",186,81,-5,-5,2022,NA,0,NA
"33","2848",64,158,-5,-5,2022,NA,0,NA
"33","2849",2,100,-5,-5,2022,NA,0,NA
"33","2852",43,185,5,0,2022,NA,0,NA
"33","2855",103,142,-5,-5,2022,NA,0,NA
"33","2857",127,194,0,5,2022,NA,0,NA
"33","724",127,197,-10,-10,2022,NA,0,NA
"33","725",117,187,-10,-10,2022,NA,0,NA
"36","2640",100,155.5,4,-1,2022,NA,0,"Tag not found"
"37","1287",54,36,-10,-10,2022,NA,0,"cow kill"
"37","1288",50,49,-10,-10,2022,NA,0,NA
"37","1663",118,172,0,10,2022,NA,0,NA
"37","1664",116,156,-10,-10,2022,NA,0,"dead, tag found"
"37","2005",50,0,-10,-10,2022,NA,0,NA
"37","2027",84,102,-10,-10,2022,NA,0,"cow kill"
"37","2030",48,142,-10,-10,2022,NA,0,NA
"37","2285",73,61,-10,-10,2022,NA,0,"cow kill"
"37","2290",141,131,-10,-10,2022,NA,0,"cow kill"
"37","2518",104,107,0,-5,2022,NA,0,NA
"37","2607",67,49,-5,-5,2022,NA,0,"cow kill"
"37","2608",89,100,-5,-5,2022,NA,0,"cow kill"
"37","2614",111,167,0,10,2022,NA,0,"dead tag missing; in hoof print location; tag not found in 2022 tag pull"
"37","790",63,13,-10,-10,2022,NA,0,NA
"37","793",75,44,-10,-10,2022,NA,0,"cow kill"
"37","808",146,163,-10,-10,2022,NA,0,"cow kill"
"37","809",117,163,0,10,2022,NA,0,NA
"37","810",105,169,-10,-10,2022,NA,0,NA
"37","814",62,116,-10,-10,2022,NA,0,NA
"37","815",83,121,-10,-10,2022,NA,0,NA
"37","818",103,115,-10,-10,2022,NA,0,NA
"37","820",89,105,-10,-10,2022,NA,0,"cow kill"
"37","822",83,83,-10,-10,2022,NA,0,"cow kill"
"37","823",103,108,-10,-10,2022,NA,0,"cow kill"
"37","824",104,99,-10,-10,2022,NA,0,"cow kill"
"40","2781",46,15,-5,-5,2022,NA,0,NA
"41","2048",30,12,-10,-10,2022,NA,0,NA
"41","2049",67,52,-10,-10,2022,NA,0,NA
"41","2057",150,187,-10,-10,2022,NA,0,"dead, tag found"
"41","2304",1,78,-10,-10,2022,NA,0,NA
"41","2643",151,175,-7,-3,2022,NA,0,NA
"41","2644",165,189,-4,-1,2022,NA,0,NA
"41","2782",2,78,-5,-5,2022,NA,0,NA
"41","2783",174,176,5,5,2022,NA,0,NA
"41","2858",158,196,-5,-5,2022,NA,0,NA
"42","2629",0,71,5,-5,2022,NA,0,NA
"46","1009",180,178,-5,-5,2022,NA,0,NA
"46","1022",34,113,-3,-2,2022,NA,0,"1 clump in 2020"
"46","1452",73,7,-10,-10,2022,NA,0,NA
"46","1454",85,15.5,-10,-10,2022,NA,0,"Was 3 stems in 2020"
"46","1462",76,50,-10,-10,2022,NA,0,NA
"46","1473",88,32,-10,-10,2022,NA,0,NA
"46","1477",125,46,-10,-10,2022,NA,0,NA
"46","1478",125,32,-2,-5,2022,NA,0,NA
"46","1483",145,11,-10,-10,2022,NA,0,NA
"46","1685",50,19,-5,-5,2022,NA,0,NA
"46","1689",34,132,-10,-10,2022,NA,0,NA
"46","1714",107,128,-10,-10,2022,NA,0,NA
"46","2091",66,75,-10,-10,2022,NA,0,NA
"46","2109",58,3,-10,-10,2022,NA,0,NA
"46","2111",50,18,-10,-10,2022,NA,0,NA
"46","2113",60,24,-5,-5,2022,NA,0,NA
"46","2115",70,10,-10,-10,2022,NA,0,NA
"46","2117",84,38,-10,-10,2022,NA,0,NA
"46","2121",122,4,-10,-10,2022,NA,0,NA
"46","2165",147,124,-10,-10,2022,NA,0,NA
"46","2171",193,109,-10,-10,2022,NA,0,"herbivory, 2 clumps"
"46","2316",114,50,-10,-10,2022,NA,0,NA
"46","2350",116,152,-10,-10,2022,NA,0,NA
"46","2401",28,103,-2,-2,2022,NA,0,NA
"46","2404",191,18,10,0,2022,NA,0,"runs along right side of plot"
"46","2412",31,15,-10,-10,2022,NA,0,NA
"46","2414",20,31,-5,-5,2022,NA,0,NA
"46","2416",176,31,-5,-5,2022,NA,0,NA
"46","2420",83,105,0,10,2022,NA,0,NA
"46","2429",185,70,-10,-10,2022,NA,0,NA
"46","2430",134,29,-10,-10,2022,NA,0,"tag not found in 2022 tag pull"
"46","2431",130,33,0,-5,2022,NA,0,NA
"46","2432",130,38,-10,0,2022,NA,0,NA
"46","2455",3,4,6,0,2022,NA,0,NA
"46","2457",89,28,-5,-5,2022,NA,0,NA
"46","2463",187,100,-5,-5,2022,NA,0,NA
"46","2465",176,125,-5,-5,2022,NA,0,NA
"46","2478",99,21.5,-5,-5,2022,NA,0,NA
"46","2737",56,3,-5,-5,2022,NA,0,NA
"46","2740",198,17,-5,-5,2022,NA,0,"CR 1-17-23: Changed ID uncertain from 1 to 0 based on 2020 recensus data"
"46","2741",200,34,-5,5,2022,NA,0,NA
"46","2742",199,39,-5,-5,2022,NA,0,NA
"46","2744",126,42,-5,-5,2022,NA,0,NA
"46","2745",135,42,5,-5,2022,NA,0,NA
"46","2746",127,41,-5,-5,2022,NA,0,NA
"46","2747",120,44,-5,-5,2022,NA,0,NA
"46","2749",112.5,76,-5,-5,2022,NA,0,NA
"46","2785",36,20,-5,5,2022,NA,0,NA
"46","2786",55,16,-5,-5,2022,NA,0,NA
"46","2788",51,20,-5,-5,2022,NA,0,NA
"46","2789",118,32,-5,-5,2022,NA,0,NA
"46","2790",99,11,-5,-5,2022,NA,0,NA
"46","2791",80,19.5,-5,-5,2022,NA,0,NA
"46","2792",131,24,-5,-5,2022,NA,0,NA
"46","2793",188,93,-5,-5,2022,NA,0,"Inside Arecon in 2020"
"46","2794",187,92,-5,-5,2022,NA,0,NA
"46","2796",168,24,-5,-5,2022,NA,0,NA
"46","2803",161,125,-5,-5,2022,NA,0,NA
"46","2805",140,140,-5,-5,2022,NA,0,NA
"46","2806",137,109,-5,-5,2022,NA,0,NA
"46","948",167,54,-10,-10,2022,NA,0,"vertical line"
"46","955",191,3,-10,-10,2022,NA,0,NA
"46","963",187,31,-10,-10,2022,NA,0,"cow kill"
"46","982",194,125,-10,-10,2022,NA,0,NA
"47","2514",17,10.5,-5,-5,2022,NA,0,NA
"47","2556",8,0.5,-5,-5,2022,NA,0,NA
"49","2554",64,182,-5,-5,2022,NA,0,NA
"5","1751",115,39,10,-10,2022,NA,0,NA
"5","2531",116,50,10,0,2022,NA,0,NA
"5","2532",177,80,0,-5,2022,NA,0,NA
"50","2078",177,49,-10,-10,2022,NA,0,"dead tag lost"
"6","1757",17,134,-10,-10,2022,NA,0,NA
"6","2434",110,37,-10,-10,2022,NA,0,NA
"6","2541",147,162,-10,-10,2022,NA,0,NA
"6","2542",50,145,-5,-5,2022,NA,0,NA
"9","1766",193,76,-10,-10,2022,NA,0,"No plant, no tag; no tag found in 2022 tag pull"
"9","2536",190,67,0,-5,2022,NA,0,NA
