"Plot","Ivesia gordonii","Lupinus argenteus","Elymus lanceolatus","Eriogonum umbellatum","Chaenactis douglasii","Heterotheca villosa","Arenaria congesta","Phacelia hastata","Arnica latifolia","Pseudocymopterus montanus","Penstemon whippleanus","Senecio crassulus","Achnatherum lettermanii","Agoseris glauca","Poa stenantha","Carex siccata","Viola praemorsa","Valeriana acutiloba"
"20",10,3,7,5,0,1,12,1,0,0,1,0,1,1,0,0,0,0
"21",1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21R",1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,5,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"22R",2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23R",7,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"24R",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25R",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26R",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",5,0,5,7,0,0,3,0,0,0,0,1,0,1,0,0,0,0
"27R",1,0,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"28",2,0,10,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"28R",5,1,4,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"29",0,0,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"29R",0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2R",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30R",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"31R",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32R",0,11,4,5,0,4,0,0,0,0,0,1,0,0,0,0,0,0
"33",9,1,10,12,0,3,0,1,0,0,0,0,2,0,1,0,0,0
