"Plot","Ivesia gordonii","Senecio crassulus","Lupinus argenteus","Elymus lanceolatus","Phacelia hastata","Eriogonum umbellatum","Heterotheca villosa","Arenaria congesta","Arnica latifolia","Agoseris glauca","Chaenactis douglasii","Penstemon whippleanus","Achnatherum lettermanii","Poa stenantha","Carex siccata","Viola praemorsa"
"1",5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,0,12,2,1,1,0,0,0,0,0,0,0,0,0,0
"11",5,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0
"12",4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,10,1,7,3,0,0,0,0,0,0,0,0,0
"14",1,0,0,13,0,3,1,0,0,0,0,0,0,0,0,0
"15",9,0,4,0,0,5,1,1,0,0,0,0,0,0,0,0
"16",3,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0
"17",0,0,5,7,0,1,1,0,0,1,0,0,0,0,0,0
"18",4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
"19",23,0,8,4,0,13,4,0,0,0,1,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",12,1,2,6,1,9,1,10,0,0,2,1,1,1,0,0
"21",1,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0
"22",0,0,1,4,3,4,0,1,0,0,0,1,0,0,0,0
"23",3,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0
"24",0,1,0,13,0,5,0,0,0,1,1,0,0,0,0,0
"27",4,0,0,7,0,6,0,1,0,1,0,0,1,0,0,0
"28",3,2,0,6,1,6,0,0,0,0,0,0,0,0,0,0
"29",1,0,1,6,0,1,1,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,5,1,2,0,0,0,0,0,0,5,0,0,0
"32",6,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
"33",7,2,4,7,1,7,3,0,0,1,1,0,1,3,0,0
"34",0,0,0,7,1,4,0,0,0,0,1,0,0,0,0,0
"36",2,1,0,2,0,4,0,0,4,1,0,0,1,2,0,0
"37",21,1,10,0,0,4,4,0,0,0,0,0,0,1,0,0
"39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
"41",1,1,1,2,2,2,3,5,4,0,0,0,2,0,0,0
"42",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"46",8,21,1,7,5,13,6,18,1,17,0,0,1,0,42,3
"47",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"49",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"5",0,0,2,3,0,2,0,0,0,1,0,0,0,0,0,0
"50",0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0
"6",7,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",4,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0
"9",3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
