"Plot","Ivesia gordonii","Senecio crassulus","Lupinus argenteus","Chaenactis douglasii","Elymus lanceolatus","Agoseris glauca","Phacelia hastata","Eriogonum umbellatum","Heterotheca villosa","Arenaria congesta","Arnica latifolia","Penstemon whippleanus","Achnatherum lettermanii","Poa stenantha","Pseudocymopterus montanus","Carex siccata","Viola praemorsa"
"1",8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",4,0,20,1,2,1,1,1,0,0,0,0,0,0,0,0,0
"11",5,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12",4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,10,0,0,7,3,0,0,0,0,0,0,0,0
"14",1,0,0,0,13,0,0,3,2,0,0,0,0,0,0,0,0
"15",10,0,16,0,0,0,0,5,0,1,0,0,0,0,0,0,0
"16",3,5,8,0,2,3,1,8,0,0,1,0,0,0,0,0,0
"17",0,0,8,0,7,1,0,1,2,0,0,0,0,0,0,0,0
"18",5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"19",25,3,4,0,3,0,0,11,4,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",13,2,14,2,7,2,2,19,8,10,0,1,1,1,0,0,0
"21",3,0,1,0,0,0,1,4,2,0,0,0,3,1,0,0,0
"22",1,0,1,0,4,2,4,4,1,1,0,1,0,0,0,0,0
"23",4,0,2,0,3,1,0,3,2,0,0,0,0,0,0,0,0
"24",0,4,0,1,9,1,0,6,2,0,0,0,0,0,1,0,0
"25",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",5,1,0,0,9,9,0,9,4,1,0,0,1,0,0,0,0
"28",4,3,0,0,6,0,0,6,1,0,0,0,0,0,0,0,0
"29",1,0,6,1,6,0,0,4,1,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,1,0,5,0,1,3,0,0,0,0,5,0,0,0,0
"32",6,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"33",10,2,20,1,7,4,2,8,6,0,0,0,1,6,0,0,0
"34",0,0,0,0,7,0,1,4,0,0,0,0,0,0,0,0,0
"36",3,0,6,0,2,5,0,5,1,0,6,0,1,2,0,0,0
"37",25,0,26,0,0,2,0,7,5,0,0,0,1,1,0,0,0
"39",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
"41",1,5,11,0,1,1,2,4,3,3,4,0,3,0,0,0,0
"42",0,2,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"43",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"46",8,51,18,0,4,21,4,23,15,12,1,0,1,0,0,38,5
"47",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"49",0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"5",1,0,14,0,3,1,1,2,1,0,0,0,0,0,0,0,0
"50",6,2,1,0,2,0,1,4,1,0,1,0,0,0,0,0,0
"6",8,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"7",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",5,1,6,2,0,0,1,2,0,0,0,0,0,0,0,0,0
"9",4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
