"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2018,1,"1050","Lupinus argenteus","Lupinus argenteus",0,53,175,-10,-10,0,FALSE,24,8,3,0,1,,,
2018,1,"1053","Ivesia gordonii","Ivesia gordonii",0,195,25,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2018,1,"1056","Ivesia gordonii","Ivesia gordonii",0,195,24,10,0,1,TRUE,0,0,0,0,1,,,"dead"
2018,1,"1057","Ivesia gordonii","Ivesia gordonii",0,186,21,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2018,1,"1060","Ivesia gordonii","Ivesia gordonii",0,172,65,-5,-5,0,FALSE,5,4,0,0,1,,,
2018,1,"1061","Ivesia gordonii","Ivesia gordonii",0,172,70,-5,-5,0,FALSE,6,3.5,1,0,1,,,
2018,1,"1063","Lupinus argenteus","Lupinus argenteus",0,195,100,-10,-10,0,FALSE,8,4,0,0,1,,,
2018,1,"1069","Ivesia gordonii","Ivesia gordonii",0,200,185,10,0,0,FALSE,2,2.5,0,0,1,,,
2018,1,"1071","Senecio crassulus","Senecio crassulus",0,200,200,-10,-10,0,FALSE,2.8,2,0,0,1,,,"3 stems"
2018,1,"1742","Ivesia gordonii","Ivesia gordonii",0,3,172,-10,-10,0,FALSE,13,4,0,0,1,,,
2018,1,"1744","Ivesia gordonii","Ivesia gordonii",0,195,40,5,0,0,FALSE,9,4,2,0,1,,,
2018,1,"2","Ivesia gordonii","Ivesia gordonii",0,7,169,-10,-10,1,TRUE,0,0,0,0,1,,,"dead, tag lost"
2018,1,"2205","Ivesia gordonii","Ivesia gordonii",0,12.5,165,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2018,1,"2364","Lupinus argenteus","Lupinus argenteus",0,179,50,-10,-10,0,FALSE,11,4.5,0,0,1,,,
2018,2,"17","Ivesia gordonii","Ivesia gordonii",0,108,174,-10,-10,0,FALSE,6.5,5,2,0,1,,,"looks sick"
2018,3,"19","Ivesia gordonii","Ivesia gordonii",0,66,98,-10,-10,0,FALSE,3.5,2.5,0,0,1,,,
2018,3,"2365","Eriogonum umbellatum","Eriogonum umbellatum",0,105,125,-10,-10,0,FALSE,43,4,51,0,1,,,"equals 2365 (new tag; old tag lost)"
2018,5,"1072","Lupinus argenteus","Lupinus argenteus",0,25,125,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
