"","Pseudocymopterus montanus","Arnica latifolia","Valeriana acutiloba","Indet indet","Agoseris glauca","Ivesia gordonii","Phacelia hastata","Elymus lanceolatus","Heterotheca villosa","Penstemon whippleanus","Eriogonum umbellatum","Poa stenantha","Achnatherum lettermanii","Carex siccata","Viola praemorsa","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Senecio crassulus"
"Plot 1",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,0,3,1,3,2,0,5,0,0,0,0,0,3,11,0
"Plot 6",0,0,0,0,0,8,0,3,0,0,1,0,0,0,0,0,0,0,0
"Plot 7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,2,21,0
"Plot 9",0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0
"Plot 10",0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,20,0
"Plot 11",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0
"Plot 12",0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,0,0,11,3,0,4,0,0,0,0,0,1,0,0
"Plot 14",0,0,0,0,0,0,0,14,1,0,2,0,0,0,0,0,0,2,0
"Plot 15",0,0,0,0,1,10,0,0,0,0,4,0,0,0,0,1,0,36,0
"Plot 16",0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,64,1
"Plot 17",0,0,0,0,0,1,0,7,3,0,1,0,0,0,0,0,0,34,0
"Plot 18",0,0,0,0,0,8,0,2,1,0,1,0,0,0,0,0,0,0,0
"Plot 19",0,0,0,0,0,19,0,3,4,0,12,0,0,0,0,0,0,1,2
"Plot 20",1,0,0,0,2,12,1,14,4,1,8,0,1,0,0,6,3,24,2
"Plot 21",0,0,0,1,0,3,1,2,3,0,12,0,4,0,0,0,0,0,0
"Plot 22",0,0,0,0,0,1,2,3,1,0,4,0,0,0,0,0,0,0,0
"Plot 23",0,0,0,0,1,4,0,3,2,0,3,0,0,0,0,0,0,3,0
"Plot 24",0,0,0,0,1,0,0,15,2,0,7,0,0,0,0,0,0,1,4
"Plot 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"Plot 27",0,0,0,0,5,8,0,7,5,0,7,0,1,0,0,0,0,0,1
"Plot 28",1,1,0,0,2,19,3,14,2,0,10,0,0,0,0,1,1,1,2
"Plot 29",0,0,0,0,0,1,0,9,1,0,3,0,0,0,0,0,1,35,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,0,1,11,0,0,3,0,3,0,0,0,0,0,0
"Plot 32",0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,1,0
"Plot 33",0,0,0,0,2,18,0,4,6,0,10,5,2,0,0,0,1,14,0
"Plot 34",0,0,0,0,0,1,0,5,0,0,4,0,0,0,0,0,0,0,0
"Plot 35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 36",0,1,0,0,1,3,0,3,5,0,6,0,3,0,0,0,0,6,2
"Plot 37",0,0,0,0,0,13,0,0,2,0,3,0,1,0,0,0,0,22,1
"Plot 38",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 39",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Plot 40",0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,5,0
"Plot 41",0,3,0,0,1,2,0,1,3,0,2,0,3,0,0,2,0,9,1
"Plot 42",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0
"Plot 45",0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0
"Plot 46",0,0,0,0,13,8,2,8,32,1,29,0,1,37,2,5,0,18,13
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 49",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7,0
"Plot 50",0,0,0,0,0,9,1,1,3,0,5,0,0,0,0,0,0,0,0
