"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2016,1,"3","Ivesia gordonii","Ivesia gordonii",0,104,19,-10,-10,0,18,7.3,30,0,1,,,
2016,1,"4","Ivesia gordonii","Ivesia gordonii",0,102,26,-10,-10,0,10,5.2,8,0,1,,,
2016,1,"1052","Ivesia gordonii","Ivesia gordonii",0,190,25,-10,-10,0,1.9,5.2,0,0,1,,,
2016,1,"1053","Ivesia gordonii","Ivesia gordonii",0,195,25,-10,-10,0,1.8,1.2,0,0,1,,,
2016,1,"1054","Ivesia gordonii","Ivesia gordonii",0,190,36,-10,-10,0,0.7,1,0,0,1,,,
2016,1,"1055","Ivesia gordonii","Ivesia gordonii",0,200,33,-10,-10,0,2.4,1.5,0,0,1,,,
2016,1,"1056","Ivesia gordonii","Ivesia gordonii",0,195,24,10,0,0,0.5,0.5,0,0,1,,,
2016,1,"1057","Ivesia gordonii","Ivesia gordonii",0,186,21,-10,-10,0,0.5,0.5,0,0,1,,,
2016,1,"1058","Ivesia gordonii","Ivesia gordonii",0,183,45,-10,-10,0,1.2,1,0,0,1,,,
2016,1,"1059","Heterotheca villosa","Heterotheca villosa",0,180,46,-10,-10,0,4.2,3.7,0,0,1,,,
2016,1,"1743","Ivesia gordonii","Ivesia gordonii",0,182,36,-5,-5,0,0.4,0.4,0,1,1,,,
2016,1,"1744","Ivesia gordonii","Ivesia gordonii",0,195,40,5,0,0,1.3,1.3,0,1,1,,,
2016,1,"5","Ivesia gordonii","Ivesia gordonii",0,153,8,-10,-10,0,16.3,6.9,31,0,1,,,
2016,1,"7","Ivesia gordonii","Ivesia gordonii",0,198,25,-10,-10,0,13.5,7.9,2,0,1,,,
2016,1,"1","Ivesia gordonii","Ivesia gordonii",0,20,100,-10,-10,0,2,4.5,0,0,1,,,
2016,1,"1742","Ivesia gordonii","Ivesia gordonii",0,20,100,-10,-10,0,0.5,0.5,0,1,1,,,
2016,1,"6","Ivesia gordonii","Ivesia gordonii",0,127,55,-10,-10,0,12.5,6.5,10,0,1,,,
2016,1,"10","Ivesia gordonii","Ivesia gordonii",0,185,94,-10,0,0,0,0,0,0,1,,,
