"Plot","Ivesia gordonii","Lupinus argenteus","Elymus lanceolatus","Phacelia hastata","Eriogonum umbellatum","Senecio crassulus","Heterotheca villosa","Arenaria congesta","Chaenactis douglasii","Arnica latifolia","Pseudocymopterus montanus","Penstemon whippleanus","Achnatherum lettermanii","Agoseris glauca","Poa stenantha","Viola praemorsa","Carex siccata","Valeriana acutiloba"
"50",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"50R",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"5R",0,14,3,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0
"6",14,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6R",24,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"7",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7R",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"8R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9R",2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
