"Plot","Ivesia gordonii","Senecio crassulus","Lupinus argenteus","Elymus lanceolatus","Eriogonum umbellatum","Phacelia hastata","Chaenactis douglasii","Heterotheca villosa","Arenaria congesta","Pseudocymopterus montanus","Penstemon whippleanus","Agoseris glauca","Achnatherum lettermanii","Indet indet1","Arnica latifolia","Poa stenantha","Viola praemorsa","Carex siccata"
"1",15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",4,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,11,5,0,1,3,0,0,0,0,0,0,0,0,0,0
"14",0,0,2,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"15",10,0,38,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"16",1,0,64,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,34,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"18",8,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"19",18,1,1,3,12,0,0,4,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",11,2,23,14,7,0,2,3,6,1,1,1,1,0,0,0,0,0
"21",1,0,0,2,12,0,0,3,0,0,0,0,3,1,0,0,0,0
"22",1,0,0,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0
"23",4,0,3,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0
"24",0,2,1,15,7,0,0,2,0,0,0,0,0,0,0,0,0,0
"25",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",6,1,0,8,7,0,0,5,1,0,0,4,1,0,0,0,0,0
"28",19,1,1,13,8,3,0,1,1,1,0,1,0,0,1,0,0,0
"29",1,0,35,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,11,3,1,0,0,0,0,0,0,4,0,0,0,0,0
"32",8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",18,0,14,4,10,0,0,4,0,0,0,2,1,0,0,6,0,0
"34",1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2,2,5,3,6,0,0,5,0,0,0,1,1,0,2,2,0,0
"37",12,0,21,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0
"38",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"41",2,1,9,1,2,0,0,2,1,0,0,1,3,0,3,0,0,0
"42",0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"46",6,7,20,7,28,3,0,32,3,0,0,12,1,0,0,0,2,37
"47",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"5",3,0,11,1,5,0,3,2,0,0,0,0,0,0,0,0,0,0
"50",9,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0
"6",6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",6,0,21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"9",3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
