"Plot","Ivesia gordonii","Lupinus argenteus","Elymus lanceolatus","Eriogonum umbellatum","Chaenactis douglasii","Heterotheca villosa","Arenaria congesta","Arnica latifolia","Agoseris glauca","Penstemon whippleanus","Phacelia hastata","Poa stenantha","Senecio crassulus","Achnatherum lettermanii","Carex siccata","Viola praemorsa"
"1",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"12",4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,6,6,1,3,0,0,0,0,0,0,0,0,0,0
"14",1,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0
"15",5,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0
"16",3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
"17",0,1,5,1,0,0,0,0,2,0,0,0,0,0,0,0
"18",4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"19",20,4,4,11,0,4,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",9,2,7,5,0,1,12,0,1,1,1,0,0,0,0,0
"21",1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
"22",0,0,5,6,0,0,1,0,0,1,1,0,0,0,0,0
"23",3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,11,5,0,0,0,0,0,0,0,0,1,0,0,0
"27",5,0,5,7,0,0,1,0,1,0,0,0,1,0,0,0
"28",2,0,9,8,1,0,1,0,0,0,1,0,0,0,0,0
"29",0,0,6,2,0,1,0,0,1,0,0,0,0,0,0,0
"3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0
"32",2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"33",8,1,8,12,0,3,0,0,0,0,1,1,0,1,0,0
"34",0,0,5,5,1,0,0,0,1,0,1,0,0,0,0,0
"36",1,0,2,4,0,0,0,5,1,0,0,2,0,1,0,0
"37",6,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,2,3,0,3,2,0,0,0,0,0,1,0,0,0
"42",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"45",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"46",1,1,8,21,0,6,12,0,9,0,1,0,10,1,21,3
"47",0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"9",3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
