"Plot","Heterotheca villosa","Ivesia gordonii","Senecio crassulus","Lupinus argenteus","Eriogonum umbellatum","Chaenactis douglasii","Elymus lanceolatus","Phacelia hastata","Agoseris glauca","Arenaria congesta","Arnica latifolia","Pseudocymopterus montanus","Penstemon whippleanus","Achnatherum lettermanii","Poa stenantha","Carex siccata","Viola praemorsa"
"1",1,31,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,4,0,43,1,2,2,1,0,0,0,0,0,0,0,0,0
"11",0,7,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"13",3,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0
"14",2,1,0,2,3,1,13,0,0,0,0,0,0,0,0,0,0
"15",0,11,0,44,5,0,0,0,0,1,0,0,0,0,0,0,0
"16",0,4,6,42,8,0,2,2,6,0,1,0,0,0,0,0,0
"17",3,0,0,18,1,0,8,0,1,0,0,0,0,0,0,0,0
"18",1,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"19",6,27,4,4,14,0,3,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",10,16,4,27,24,3,6,2,4,11,0,1,2,1,1,0,0
"21",3,3,1,1,6,0,2,4,0,0,0,0,0,4,1,0,0
"22",1,1,0,1,5,0,3,4,2,1,0,0,1,0,0,0,0
"23",2,4,0,4,3,0,3,0,1,0,0,0,0,0,0,0,0
"24",2,0,4,1,7,3,11,0,1,0,0,1,0,0,0,0,0
"25",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",4,7,1,0,13,0,9,0,7,1,0,0,0,1,0,0,0
"28",3,21,2,1,12,1,10,5,2,1,0,1,0,0,0,0,0
"29",1,1,0,21,5,3,8,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,1,6,0,6,1,1,0,0,0,0,5,0,0,0
"32",0,11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0
"33",8,14,0,21,10,2,8,2,5,0,0,0,0,1,7,0,0
"34",0,0,0,1,4,0,8,1,0,0,0,0,0,0,0,0,0
"36",4,3,1,19,6,0,3,0,5,0,3,0,0,1,2,0,0
"37",7,39,1,44,8,0,0,0,4,0,0,0,0,1,1,0,0
"38",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0
"41",4,3,6,30,7,0,1,4,1,3,6,1,0,3,0,0,0
"42",2,0,2,32,3,0,2,0,0,0,0,0,1,0,0,0,0
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
"46",41,23,63,48,43,1,9,8,30,19,1,0,1,1,0,44,9
"47",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0
"5",1,2,0,16,5,3,3,1,1,0,0,0,0,0,0,0,0
"50",2,7,1,1,6,0,2,1,0,0,1,0,0,0,0,0,0
"6",0,15,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,6,2,10,2,2,0,1,0,0,0,0,0,0,0,0,0
"9",1,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
