"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2014,1,"1","IVEGOR","Ivesia gordonii",0,20,100,-10,-10,0,FALSE,1,1,0,1,1,,,
2014,1,"10","IVEGOR","Ivesia gordonii",0,185,94,-10,0,0,FALSE,5,2,0,0,1,,,
2014,1,"11","IVEGOR","Ivesia gordonii",0,195,93,-10,-10,0,FALSE,7,3,1,0,1,,,
2014,1,"12","IVEGOR","Ivesia gordonii",0,195,122,-10,-10,0,FALSE,14,5,2,0,1,,,
2014,1,"13","IVEGOR","Ivesia gordonii",0,192,126,-10,-10,0,FALSE,9,5,2,0,1,,,
2014,1,"14","LUP","Lupinus argenteus",0,20,130,10,0,0,FALSE,34,13,6,0,1,,,
2014,1,"15","IVEGOR","Ivesia gordonii",0,195,144,-10,-10,0,FALSE,18,4,3,0,1,,,
2014,1,"16","IVEGOR","Ivesia gordonii",0,198,165,-10,-10,0,FALSE,18,4,6,0,1,,,
2014,1,"2","IVEGOR","Ivesia gordonii",0,7,169,-10,-10,0,FALSE,5,4,0,0,1,,,
2014,1,"3","IVEGOR","Ivesia gordonii",0,104,19,-10,-10,0,FALSE,14,4,4,0,1,,,
2014,1,"4","IVEGOR","Ivesia gordonii",0,102,26,-10,-10,0,FALSE,9,3,0,0,1,,,
2014,1,"5","IVEGOR","Ivesia gordonii",0,153,8,-10,-10,0,FALSE,13,5,5,0,1,,,
2014,1,"6","IVEGOR","Ivesia gordonii",0,127,55,-10,-10,0,FALSE,12,7,2,0,1,,,
2014,1,"7","IVEGOR","Ivesia gordonii",0,198,25,-10,-10,0,FALSE,9,3,1,0,1,,,
2014,1,"8","IVEGOR","Ivesia gordonii",0,194,53,-10,-10,0,FALSE,13,4,6,0,1,,,
2014,1,"9","IVEGOR","Ivesia gordonii",0,177,85,-10,-10,0,FALSE,12,4,3,0,1,,,
2014,2,"17","IVEGOR","Ivesia gordonii",0,108,174,-10,-10,0,FALSE,1,1,0,1,1,,,
2014,3,"19","IVEGOR","Ivesia gordonii",0,66,98,-10,-10,0,FALSE,1,1,0,1,1,,,
2014,3,"2365","ERIyel","Eriogonum umbellatum",0,105,125,-10,-10,0,FALSE,29,6,42,0,1,,,
2014,5,"1554","CHADOU","Chaenactis douglasii",0,112,37,-10,-10,0,FALSE,2.5,2,0,0,1,,,
2014,5,"1555","CHADOU","Chaenactis douglasii",0,170,130,-10,-10,0,FALSE,2,1,0,0,1,,,
2014,5,"1556","CHADOU","Chaenactis douglasii",0,179,125,10,10,0,FALSE,3,3.5,0,0,1,,,
2014,5,"20","LUP","Lupinus argenteus",0,25,28,-10,-10,0,FALSE,23,11,2,0,1,,,
2014,5,"21","LUP","Lupinus argenteus",0,33,40,-10,0,0,FALSE,22,13,6,0,1,,,
2014,5,"2185","Phacelia hastata","Phacelia hastata",0,164,98,-10,-10,0,FALSE,6.5,3,1,0,1,,,"should have been 2016"
2014,5,"2186","Elymus lanceolatus","Elymus lanceolatus",0,173,114,-10,-10,0,FALSE,12,19,1,0,1,,,
2014,5,"2187","Elymus lanceolatus","Elymus lanceolatus",0,183,114,-10,-10,0,FALSE,13,15,1,0,1,,,
2014,5,"22","LUP","Lupinus argenteus",0,48,60,-10,-10,0,FALSE,7,5,0,0,1,,,
2014,5,"23","LUP","Lupinus argenteus",0,27,54,-10,0,0,FALSE,7,8,0,0,1,,,
2014,5,"2367","ERIyel","Eriogonum umbellatum",0,175,112,-10,-10,0,FALSE,41,5,29,0,1,,,
2014,5,"24","LUP","Lupinus argenteus",0,25,65,-10,-10,0,FALSE,23,12,1,0,1,,,
2014,5,"25","LUP","Lupinus argenteus",0,22,70,-10,-10,0,FALSE,12,9,0,0,1,,,
2014,5,"26","ERIyel","Eriogonum umbellatum",0,105,45,-10,-10,0,FALSE,30,3,19,0,1,,,
2014,5,"27","IVEGOR","Ivesia gordonii",0,200,20,-10,-10,0,FALSE,9,2,0,0,1,,,
2014,5,"28","IVEGOR","Ivesia gordonii",0,130,68,-10,-10,0,FALSE,8,5,2,0,1,,,
2014,5,"29","IVEGOR","Ivesia gordonii",0,5,123,-10,-10,0,FALSE,8,4,0,0,1,,,
2014,5,"30","LUP","Lupinus argenteus",0,55,170,-10,-10,0,FALSE,12,5,0,0,1,,,
2014,5,"31","LUP","Lupinus argenteus",0,57,185,-10,-10,0,FALSE,12,6,0,0,1,,,
2014,5,"32","LUP","Lupinus argenteus",0,105,155,-10,-10,0,FALSE,11,6,0,0,1,,,
2014,5,"33","LUP","Lupinus argenteus",0,98,155,-10,-10,0,FALSE,8,5,0,0,1,,,
2014,5,"34","LUP","Lupinus argenteus",0,170,180,-10,-10,0,FALSE,11,6,0,0,1,,,
2014,5,"35","ERIyel","Eriogonum umbellatum",0,150,130,-10,-10,0,FALSE,19,3,15,0,1,,,
2014,5,"36","matsun","Heterotheca villosa",0,155,115,-10,-10,0,FALSE,10,5,0,0,1,,,
2014,5,"37","ERIyel","Eriogonum umbellatum",0,177.5,109.5,-10,-10,0,FALSE,11,4,6,0,1,,,
2014,5,"39","ERIyel","Eriogonum umbellatum",0,190,105,-10,-10,0,FALSE,30,4,17,0,1,,,
2014,5,"40","matsun","Heterotheca villosa",0,190,120,0,10,0,FALSE,7,5,1,0,1,,,
2014,5,"41","fatgrass","Elymus lanceolatus",0,175,130,0,10,0,FALSE,9,14,2,0,1,,,
2014,6,"1558","ELYLAN","Elymus lanceolatus",0,127,70,-10,-10,0,FALSE,19,12,0,0,1,,,"2 clumps"
