"","Pseudocymopterus montanus","Arnica latifolia","Valeriana acutiloba","Indet indet","Agoseris glauca","Ivesia gordonii","Phacelia hastata","Elymus lanceolatus","Heterotheca villosa","Penstemon whippleanus","Eriogonum umbellatum","Poa stenantha","Achnatherum lettermanii","Carex siccata","Viola praemorsa","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Senecio crassulus"
"Plot 1",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1
"Plot 2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,1,1,1,3,2,0,3,0,0,0,0,0,0,15,0
"Plot 6",0,0,0,0,0,9,0,3,0,0,1,0,0,0,0,0,0,0,1
"Plot 7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,6,3,0,0,0,2,0,0,0,0,0,2,6,1
"Plot 9",0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,1,0
"Plot 10",0,0,0,0,1,4,2,1,0,0,1,0,0,0,0,0,1,18,0
"Plot 11",0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,14,0
"Plot 12",0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,0,1,9,3,0,7,0,0,0,0,0,0,0,0
"Plot 14",0,0,0,0,1,1,0,13,2,0,3,0,0,0,0,0,1,0,0
"Plot 15",0,0,0,0,0,10,1,0,1,0,5,0,0,0,0,1,0,15,0
"Plot 16",0,1,0,0,3,3,1,2,0,0,8,0,0,0,0,0,0,7,6
"Plot 17",0,0,0,0,1,0,0,7,2,0,1,0,0,0,0,0,0,10,0
"Plot 18",0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0
"Plot 19",0,0,0,0,0,25,0,4,4,0,11,0,0,0,0,0,0,4,3
"Plot 20",0,0,0,0,3,14,3,7,10,1,19,1,1,0,0,10,3,14,2
"Plot 21",0,0,0,0,0,3,1,0,1,0,3,1,3,0,0,0,0,1,0
"Plot 22",0,0,0,0,2,1,4,4,1,1,4,0,0,0,0,1,2,1,0
"Plot 23",0,0,0,0,1,4,0,3,2,0,3,0,0,0,0,0,0,2,0
"Plot 24",1,0,0,0,1,0,0,9,2,0,6,0,0,0,0,0,2,0,4
"Plot 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 27",0,0,0,0,11,6,0,10,5,0,9,0,1,0,0,1,0,0,2
"Plot 28",0,1,0,0,0,2,1,6,1,0,6,0,0,0,0,0,0,0,3
"Plot 29",0,0,0,0,0,1,0,6,1,0,4,0,0,0,0,0,1,4,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,0,1,5,0,0,3,0,4,0,0,0,0,1,0
"Plot 32",0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,9,0
"Plot 33",0,0,0,0,4,13,2,7,8,0,8,6,2,0,0,0,1,19,2
"Plot 34",0,0,0,0,0,0,1,7,0,0,4,0,0,0,0,0,0,0,0
"Plot 36",0,6,0,0,5,5,0,2,1,0,5,0,3,0,0,0,0,8,0
"Plot 37",0,0,0,0,2,28,1,0,5,0,7,1,1,0,0,0,0,24,0
"Plot 39",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"Plot 40",0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0
"Plot 41",0,4,0,0,1,1,2,2,4,0,5,0,3,0,0,5,0,9,6
"Plot 42",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,1
"Plot 46",0,1,0,0,23,10,5,4,15,0,26,0,1,35,3,12,0,18,61
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0
"Plot 49",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0
"Plot 50",0,1,0,0,0,6,1,2,1,0,4,0,0,0,0,0,0,1,2
