"","Pseudocymopterus montanus","Arnica latifolia","Valeriana acutiloba","Indet indet","Agoseris glauca","Ivesia gordonii","Phacelia hastata","Elymus lanceolatus","Heterotheca villosa","Penstemon whippleanus","Eriogonum umbellatum","Poa stenantha","Achnatherum lettermanii","Carex siccata","Viola praemorsa","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Senecio crassulus"
"Plot 1",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1
"Plot 2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,0
"Plot 6",0,0,0,0,0,7,0,3,0,0,1,0,0,0,0,0,0,0,1
"Plot 7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,1,2
"Plot 9",0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,1,0
"Plot 10",0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,11,0
"Plot 11",0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,8,0
"Plot 12",0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,0,1,10,3,0,7,0,0,0,0,0,0,0,0
"Plot 14",0,0,0,0,0,1,0,13,1,0,3,0,0,0,0,0,0,0,0
"Plot 15",0,0,0,0,0,9,0,0,1,0,5,0,0,0,0,1,0,4,0
"Plot 16",0,1,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0
"Plot 17",0,0,0,0,1,0,0,7,1,0,1,0,0,0,0,0,0,5,0
"Plot 18",0,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0
"Plot 19",0,0,0,0,0,23,0,4,4,0,13,0,0,0,0,0,1,8,0
"Plot 20",0,0,0,0,0,12,1,6,1,1,9,1,1,0,0,10,2,2,1
"Plot 21",0,0,0,0,0,1,1,0,0,0,4,1,3,0,0,0,0,0,0
"Plot 22",0,0,0,0,0,0,2,4,0,1,4,0,0,0,0,1,0,1,0
"Plot 23",0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,0,1,0
"Plot 24",0,0,0,0,1,0,0,13,0,0,5,0,0,0,0,0,1,0,1
"Plot 27",0,0,0,0,1,4,0,7,0,0,6,0,1,0,0,1,0,0,0
"Plot 28",0,0,0,0,0,3,1,6,0,0,6,0,0,0,0,0,0,0,2
"Plot 29",0,0,0,0,0,1,0,6,1,0,1,0,0,0,0,0,0,1,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,0,1,6,0,0,2,0,4,0,0,0,0,0,0
"Plot 32",0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,6,0
"Plot 33",0,0,0,0,1,7,1,7,3,0,6,2,2,0,0,0,1,4,2
"Plot 34",0,0,0,0,0,0,1,7,0,0,4,0,0,0,0,0,1,0,0
"Plot 36",0,4,0,0,1,2,0,2,0,0,4,0,3,0,0,0,0,0,1
"Plot 37",0,0,0,0,0,21,0,0,4,0,4,1,0,0,0,0,0,9,1
"Plot 39",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Plot 40",0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
"Plot 41",0,4,0,0,0,1,2,2,3,0,2,0,2,0,0,5,0,1,1
"Plot 42",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
"Plot 45",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Plot 46",0,1,0,0,18,8,5,4,6,0,12,0,1,42,2,18,0,1,21
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Plot 49",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Plot 50",0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
