"","Pseudocymopterus montanus","Arnica latifolia","Valeriana acutiloba","Indet indet","Agoseris glauca","Ivesia gordonii","Phacelia hastata","Elymus lanceolatus","Heterotheca villosa","Penstemon whippleanus","Eriogonum umbellatum","Poa stenantha","Achnatherum lettermanii","Carex siccata","Viola praemorsa","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Senecio crassulus"
"Plot 1",0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,3,3
"Plot 2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,0,3,0,1,2,0,5,0,0,0,0,0,3,23,0
"Plot 6",0,0,0,0,0,15,0,3,0,0,1,0,0,0,0,0,0,0,0
"Plot 7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,24,1
"Plot 9",0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0
"Plot 10",0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,37,0
"Plot 11",0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,6,1
"Plot 12",0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,0,0,10,3,0,7,0,0,0,0,0,2,0,0
"Plot 14",0,0,0,0,0,1,0,13,2,0,3,0,0,0,0,0,0,3,0
"Plot 15",0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,1,0,50,1
"Plot 16",0,1,0,0,6,5,1,1,1,0,5,0,0,0,0,0,4,58,3
"Plot 17",0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,29,0
"Plot 18",0,0,0,0,0,9,0,2,1,0,1,0,0,0,0,0,0,1,0
"Plot 19",0,0,0,0,0,24,0,3,4,0,14,0,0,0,0,0,0,3,2
"Plot 20",1,0,0,0,1,12,0,9,3,0,16,0,1,0,0,10,4,44,5
"Plot 21",0,0,0,0,0,2,1,2,3,0,10,1,3,0,0,0,0,1,1
"Plot 22",0,0,0,0,1,1,2,3,1,0,4,0,0,0,0,0,0,1,0
"Plot 23",0,0,0,0,1,4,0,3,2,0,3,0,0,0,0,0,0,5,0
"Plot 24",1,0,0,0,0,0,0,15,2,0,7,0,0,0,0,0,0,1,2
"Plot 25",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17,0
"Plot 27",0,0,0,0,5,5,0,9,5,0,8,0,1,0,0,1,0,0,1
"Plot 28",1,1,0,0,1,18,4,13,2,0,6,0,0,0,0,1,0,4,1
"Plot 29",0,0,0,0,0,1,1,9,1,0,1,0,0,0,0,0,1,26,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,0,1,11,0,0,6,0,3,0,0,0,0,2,1
"Plot 32",0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,10,0
"Plot 33",0,0,0,0,2,14,2,6,6,0,9,5,2,0,0,0,0,25,0
"Plot 34",0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0
"Plot 35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 36",0,2,0,0,1,2,0,2,5,0,6,0,3,0,0,0,0,21,2
"Plot 37",0,0,0,0,1,21,0,0,7,0,2,0,1,0,0,0,0,47,1
"Plot 38",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 39",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"Plot 40",0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,5,0
"Plot 41",0,3,0,0,1,3,4,1,2,0,8,0,3,0,0,3,0,58,3
"Plot 42",0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,39,1
"Plot 45",0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
"Plot 46",0,1,0,0,23,18,8,8,42,0,38,0,1,37,7,11,2,50,43
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0
"Plot 49",0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,7,0
"Plot 50",0,0,0,0,0,9,0,1,3,0,5,0,0,0,0,0,0,1,0
