"Plot","Tag","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Year.absent.twice","Notes"
1,"1053",195,25,-10,-10,2019,"dead"
1,"1056",195,24,10,0,2019,"dead"
1,"1057",186,21,-10,-10,2019,"dead"
1,"2",7,169,-10,-10,2019,"dead; tag still lost"
1,"2205",12.5,165,-10,-10,2019,"dead"
5,"1072",25,125,-10,-10,2019,"dead"
5,"1079",73,145,-10,-10,2019,"dead"
5,"1080",80,193,-10,-10,2019,"dead"
5,"1552",60,86,-10,-10,2019,"dead"
5,"1557",77,199,-10,-10,2019,"dead"
5,"2179",7.5,96,-10,-10,2019,"dead"
5,"2180",21,99,-10,-10,2019,"dead"
5,"2181",51,123,-10,-10,2019,"dead"
5,"2182",52,182,-10,-10,2019,"dead"
5,"2183",81,135,-10,-10,2019,"dead"
5,"2184",110,179,-10,-10,2019,"dead"
5,"2185",164,98,-10,-10,2019,"dead"
5,"2188",111,29,-10,-10,2019,"dead"
5,"2189",130,52,-10,-10,2019,"dead"
5,"25",22,70,-10,-10,2019,"dead"
5,"28",130,68,-10,-10,2019,"dead"
5,"30",55,170,-10,-10,2019,"dead"
5,"31",57,185,-10,-10,2019,"dead"
5,"34",170,180,-10,-10,2019,"dead"
5,"36",155,115,-10,-10,2019,"dead"
6,"50",154,158,-10,-10,2019,"dead"
6,"51",130,110,10,0,2019,"dead"
7,"1090",47,150,-10,-10,2019,"dead"
8,"1091",92,195,-10,-10,2019,"dead"
8,"1764",174,155,-10,-10,2019,"dead"
8,"2200",173,163,-10,-10,2019,"dead"
8,"2201",171,84,-10,-10,2019,"dead"
8,"2202",172,84,-10,-10,2019,"dead"
8,"67",170,195,-10,-10,2019,"dead"
8,"73",165,150,-10,-10,2019,"dead"
8,"75",180,125,-10,-10,2019,"dead"
8,"76",175,115,-10,-10,2019,"dead"
8,"77",145,100,-10,-10,2019,"dead"
9,"83",60,75,-10,-10,2019,"dead"
10,"111",140,65,-10,-10,2019,"dead"
10,"113",115,95,-10,-10,2019,"dead"
10,"1562",8,105,-10,-10,2019,"dead"
10,"1773",29,182,-10,-10,2019,"dead"
10,"1774",146,123,-10,-10,2019,"dead"
10,"1777",68,87,-10,0,2019,"dead"
10,"1779",75,90,0,-5,2019,"dead"
10,"2191",31,74,-10,-10,2019,"dead"
10,"2192",17,103,-10,-10,2019,"dead"
10,"2193",64,77,-10,-10,2019,"dead"
10,"2196",87,8,-10,-10,2019,"dead"
10,"2198",135,115,-10,-10,2019,"dead"
10,"2199",85,153,-10,-10,2019,"dead; tag pulled"
10,"99",55,60,-10,-10,2019,NA
11,"117",80,30,-10,-10,2019,"dead"
11,"118",85,20,-10,-10,2019,"dead"
11,"1784",110,66,0,-10,2019,"dead"
11,"1785",100,46,10,-10,2019,"dead"
11,"1787",35,187,-10,-10,2019,"dead"
11,"2211",86,13,-10,-10,2019,"dead"
11,"2212",95,34,-10,-10,2019,"dead"
11,"2213",70,19,-10,-10,2019,"dead, missing tag recovered"
12,"1118",145,65,-10,-10,2019,"dead"
14,"1123",1,13,-10,-10,2019,"dead, tag missing"
14,"148",85,75,-10,-10,2019,"dead"
14,"1794",64,5,-10,-10,2019,"dead"
14,"2217",66,75,-10,-10,2019,"dead"
15,"1144",65,200,0,10,2019,"dead"
15,"169",55,105,-10,-10,2019,"dead"
15,"170",55,115,-10,-10,2019,"dead"
15,"172",35,130,-10,-10,2019,"dead"
15,"1799",75,65,-10,-10,2019,"dead"
15,"1802",52,166,-10,-10,2019,"dead"
15,"1806",120,60,-10,-10,2019,"dead"
15,"197",115,90,-10,-10,2019,"dead"
15,"203",185,55,-10,-10,2019,"dead"
15,"208",160,25,-10,-10,2019,"dead"
15,"209",165,20,-10,-10,2019,"dead"
15,"2219",89.5,172,-10,-10,2019,"dead"
15,"2221",145,4,-10,-10,2019,"dead"
16,"1151",28,62,-10,-10,2019,"dead, tag still missing"
16,"1160",130,50,-10,-10,2019,"dead, tag still missing"
16,"1584",19,95,-10,-10,2019,"new offset"
16,"1807",11,13,-10,-10,2019,"tag missing, dead"
16,"1808",28,61,-10,-10,2019,"dead"
16,"1811",52,60,-10,-10,2019,"dead"
16,"1816",46,93,-10,-10,2019,"dead"
16,"1817",3,189,-10,-10,2019,"dead"
16,"1820",127,65,-10,-10,2019,"dead"
16,"1823",150,160,-10,-10,2019,"dead"
16,"216",5,30,0,-10,2019,"dead"
16,"2236",67,8,-10,-10,2019,"dead"
16,"2238",13,73,-10,-10,2019,"dead"
16,"2239",11,80,-10,-10,2019,"dead"
16,"2240",36,70,-10,-10,2019,"dead"
16,"2241",41,79,-10,-10,2019,"dead"
16,"2242",36,72,-10,-10,2019,"dead"
16,"2243",153,150,-10,-10,2019,"dead"
16,"230",24,70,-10,-10,2019,"dead"
16,"231",18,73,-10,-10,2019,"dead"
16,"280",127,45,-10,-10,2019,"dead"
17,"1596",108,88,10,0,2019,"dead"
17,"1829",159,155,-10,-10,2019,"dead"
17,"286",2,87,0,-10,2019,"dead"
17,"297",40,183,-10,-10,2019,"dead"
17,"300",80,110,-10,-10,2019,"dead"
17,"309",75,60,-10,-10,2019,"dead"
17,"313",85,80,0,5,2019,"dead"
17,"318",149,50,-10,-10,2019,"dead"
18,"328",34,11.5,-10,-10,2019,"dead"
19,"1167",176,35,-10,-10,2019,"dead"
19,"1597",194,65,5,-5,2019,"dead"
19,"1833",160,120,-10,-10,2019,"dead"
19,"2229",5,77,-10,-10,2019,"dead"
19,"343",103,10,-10,-10,2019,"dead"
19,"349",185,62,-10,-10,2019,"dead"
19,"361",170,107,-10,-10,2019,"dead"
19,"372",5,80,0,-10,2019,"dead"
20,"1180",10,25,-10,-10,2019,NA
20,"1182",23,44,-10,-10,2019,"dead"
20,"1191",195,15,-10,-10,2019,"dead"
20,"1193",134,186,-10,-10,2019,"dead"
20,"1198",155,167,-10,-10,2019,"dead"
20,"1609",45,35,-10,-10,2019,"dead"
20,"1615",47,58,-10,-5,2019,"dead"
20,"1843",135,183,-10,-10,2019,"dead"
20,"1844",149,188,-10,0,2019,"dead"
20,"1845",159,182,-10,-10,2019,"dead"
20,"1846",159,196,0,10,2019,"dead"
20,"1849",155,160,-10,-10,2019,"dead"
20,"1852",182,155,-10,-10,2019,"dead"
20,"1853",125,135,-10,-10,2019,"dead"
20,"1854",95,86,-10,-10,2019,"dead"
20,"1858",52,65,-5,-5,2019,"dead"
20,"1861",69,31,-10,-10,2019,"dead"
20,"1867",50,28,-10,-10,2019,"dead"
20,"1868",49,35,0,10,2019,"dead"
20,"1873",40,42,-10,-10,2019,"dead"
20,"1874",40,35,-10,-10,2019,"dead"
20,"1880",15,7,-10,-10,2019,"dead"
20,"1885",13,24,-10,-10,2019,"dead"
20,"1886",5,27,-10,0,2019,"dead"
20,"2178",173,52,-10,-10,2019,"dead"
20,"2223",177,10,-10,-10,2019,"dead"
20,"2224",9.5,38,-10,-10,2019,"dead"
20,"2225",24,33,0,10,2019,"dead"
20,"2226",38,30,-10,-10,2019,"dead"
20,"2228",42,40,-10,-10,2019,"dead"
20,"2230",50,35,-10,-10,2019,"dead"
20,"2231",180,144,-10,-10,2019,"dead"
20,"2232",160,170,-10,-10,2019,"dead"
20,"2233",125,171,-10,-10,2019,"dead"
20,"393",42,55,5,-3,2019,"dead"
20,"394",49,55,5,0,2019,"dead"
20,"401",41,1,-10,0,2019,"dead"
20,"406",65,47,-10,-10,2019,"dead"
20,"407",70,55,-10,-10,2019,"dead"
20,"416",130,90,0,-10,2019,"dead, tag missing"
20,"421",160,170,-10,-10,2019,"dead"
20,"428",165,198,-10,-10,2019,"dead"
20,"431",100,175,-10,-10,2019,"dead"
20,"437",1,85,0,-10,2019,"dead, tag missing"
21,"1210",107,145,-10,-10,2019,"dead"
21,"1892",131,187,-10,-10,2019,"dead"
21,"1896",80,105,0,10,2019,"dead"
21,"449",180,160,0,-10,2019,"dead"
21,"462",30,140,-10,-10,2019,"dead"
22,"1212",162,55,-10,-10,2019,"dead"
22,"1899",144,31,-10,-10,2019,"dead"
22,"1900",146,33,-10,-10,2019,"dead"
22,"2246",99,33,-10,-10,2019,"dead"
22,"2247",162,64,0,10,2019,"dead"
22,"2249",145,63,0,10,2019,"dead"
22,"469",120,55,-10,-10,2019,"dead"
22,"471",25,170,-10,-10,2019,"dead"
23,"1214",50,50,-10,-10,2019,"dead"
23,"476",72,30,-10,-10,2019,"dead"
23,"480",105,70,-10,-10,2019,"dead"
23,"483",185,50,-10,-10,2019,"dead"
23,"488",190,135,-10,-10,2019,"dead"
24,"1216",80,175,-10,-10,2019,"dead"
24,"1906",184,103,-10,-10,2019,"dead"
24,"1907",158,48,-10,-10,2019,"dead"
24,"1908",156,51,-10,-10,2019,"dead"
24,"501",160,50,10,-10,2019,"dead"
24,"502",160,50,-10,0,2019,"dead"
24,"509",80,175,-10,-10,2019,"dead"
24,"515",0,105,-10,-10,2019,"dead"
25,"1926",195,103,-10,-10,2019,"dead"
27,"1224",85,0,-10,-10,2019,"dead"
27,"1227",4,182,-10,-10,2019,"dead"
27,"1934",33,165,-5,-5,2019,"dead"
27,"1936",190,73,-10,-10,2019,"dead"
27,"1937",200,65,-10,-10,2019,"dead"
27,"1938",110,43,-10,-10,2019,"dead"
27,"2256",38,96,-10,-10,2019,"dead"
27,"2258",38,110,-10,-10,2019,"dead"
27,"2259",21,116,-10,-10,2019,"dead"
27,"2260",62,102,10,10,2019,"dead"
27,"2261",64,103,10,10,2019,"dead"
27,"2262",3,141,-10,-10,2019,"Plant not found. Assumed dead."
27,"2263",8,147,-15,0,2019,"dead"
27,"2264",9,149,-15,0,2019,"dead"
27,"534",162,25,-10,-10,2019,"dead"
27,"538",115,90,10,-10,2019,"dead"
27,"539",95,140,-10,-10,2019,"dead"
27,"540",115,185,-10,-10,2019,"dead"
27,"541",30,180,-10,-10,2019,"dead"
27,"543",35,180,0,-10,2019,"dead"
27,"547",2,150,0,-10,2019,"dead"
27,"549",65,105,0,-20,2019,"dead"
27,"551",30,120,-10,-10,2019,"dead"
27,"553",40,120,-10,-10,2019,"dead"
27,"556",45,125,-10,-10,2019,"dead"
27,"558",55,90,-10,10,2019,"dead"
28,"2252",23,35,-10,-10,2019,"dead"
28,"2255",169,98,-10,-10,2019,"dead"
28,"564",50,25,-20,-20,2019,"dead"
28,"571",55,45,-10,-10,2019,"dead"
28,"572",15,38,0,-5,2019,"dead, tag missing"
29,"1953",17,184,-10,-10,2019,"dead"
29,"1955",50,185,-10,-10,2019,"dead"
29,"1956",71,160,-10,-10,2019,"dead"
29,"1960",183,63,-10,-10,2019,"dead"
29,"642",140,180,-10,-10,2019,"dead"
29,"651",50,180,-10,-10,2019,"dead"
29,"654",5,170,0,-10,2019,"dead"
31,"1237",8,182,-10,-10,2019,"dead"
31,"680",55,150,-10,-10,2019,"dead, tag missing"
32,"1239",26,63,-10,-10,2019,"dead"
32,"1240",75,11,-10,-10,2019,"dead"
32,"1246",199,77,-10,-10,2019,"dead"
33,"1245",168,127,-10,-10,2019,"dead"
33,"1249",0,78,-10,-10,2019,"dead"
33,"1251",143,102,-10,-10,2019,"dead"
33,"1252",157,200,-10,-10,2019,"dead"
33,"1256",170,186,-10,-10,2019,"dead"
33,"1644",23,196,-10,-10,2019,"dead"
33,"1647",78,148,-10,-10,2019,"dead"
33,"1971",78,184,-10,-10,2019,"dead"
33,"1975",102,189,0,10,2019,"dead"
33,"1979",53,167,-10,-10,2019,"dead"
33,"1980",56,168,-10,-10,2019,"dead"
33,"1981",56,173,-5,-10,2019,"dead"
33,"1982",61,174,-10,-10,2019,"dead"
33,"1983",61,165,-10,-10,2019,"dead"
33,"2266",12,42,-10,-10,2019,"dead"
33,"2267",48,22,-10,-10,2019,"dead"
33,"2269",52,128,-10,-10,2019,"dead"
33,"2270",87,193,0,10,2019,"dead"
33,"2271",82,185,-10,-10,2019,"dead"
33,"2272",90,185,-10,-10,2019,"dead"
33,"2275",72,176,-10,-10,2019,"dead"
33,"2276",77,175,-10,-10,2019,"dead"
33,"2277",84,180,-10,-10,2019,"dead"
33,"2278",162,112,-10,-10,2019,"dead"
33,"2279",154,117,-10,-10,2019,"dead"
33,"693",5,40,-10,-10,2019,"dead"
33,"696",53,43,-10,-10,2019,"dead"
33,"697",58,20,-10,-10,2019,"dead"
33,"700",130,5,-10,0,2019,"dead"
33,"709",166,100,-10,-10,2019,"dead"
33,"712",175,100,-10,-10,2019,"dead"
33,"723",175,180,-10,-10,2019,"dead"
33,"726",120,165,-10,-10,2019,"dead"
33,"727",130,155,-10,-10,2019,"dead"
33,"730",115,150,-10,-10,2019,"dead"
33,"733",135,135,-10,-10,2019,"dead"
33,"739",70,200,-10,-10,2019,"dead"
33,"740",80,190,-10,-10,2019,"dead"
33,"743",50,160,-10,-10,2019,"dead"
36,"1277",158,143,-10,-10,2019,"dead"
36,"1279",200,177,-10,-10,2019,"dead"
36,"1282",105,183,-10,-10,2019,"dead"
36,"1285",13,166,-10,-10,2019,"dead"
