?,Plot,Tag,X..cm.,Y..cm.,Offset x,Offset y,Year absent twice,Year seedling dead,Is seedling,Notes
,41,2634,3,114.5,0,10,NA,2020,1,NA
,41,2635,38,102.5,-5,-5,NA,2020,1,NA
,41,2636,40,112.5,-5,-5,NA,2020,1,NA
,41,2637,36,98.5,-5,-5,NA,2020,1,NA
,41,2642,157,183,-5,-1,NA,2020,1,NA
,41,852,183,189,-10,-10,2020,NA,0,NA
,41,854,155,180,-10,-10,2020,NA,0,NA
,41,855,150,200,-10,-10,2020,NA,0,NA
,41,857,145,190,-10,-10,2020,NA,0,NA
,42,1385,38,77,-10,-10,2020,NA,0,NA
,42,1386,33,88,-10,-10,2020,NA,0,NA
,42,1389,8,120,-10,-10,2020,NA,0,NA
,42,1403,142,67,-10,-10,2020,NA,0,NA
,42,2411,135,194,-10,-10,2020,NA,0,NA
,45,2075,78,58,-10,-10,2020,NA,0,NA
,46,1011,150,185,0,-5,2020,NA,0,NA
,46,1471,128,40,-10,-10,2020,NA,0,NA
,46,1479,147,5,-10,-10,2020,NA,0,NA
,46,1536,85,85,-5,-5,2020,NA,0,NA
,46,1727,135,133,-10,-10,2020,NA,0,NA
,46,2108,61,6,-10,-10,2020,NA,0,NA
,46,2114,76,26,-10,-10,2020,NA,0,NA
,46,2141,87,60,-10,-10,2020,NA,0,dead
,46,2143,84,70,-10,-10,2020,NA,0,dead
,46,2151,110,73,-10,-10,2020,NA,0,dead
,46,2308,86,18,-10,-10,2020,NA,0,dead
,46,2317,115,52,-10,-10,2020,NA,0,dead
,46,2340,185,133,-10,-10,2020,NA,0,tag not found
,46,2403,23,42,10,0,2020,NA,0,NA
,46,2406,105,171,0,10,2020,NA,0,NA
,46,2407,130,170,-10,-10,2020,NA,0,Tag found with no individuals nearby
,46,2418,96,52,-5,-5,2020,NA,0,NA
,46,2419,65,95,-10,-10,2020,NA,0,NA
,46,2422,139,116,-10,-10,2020,NA,0,NA
,46,2557,21.5,199.5,-5,-2,NA,2020,1,NA
,46,2558,21,197.5,0,-8,NA,2020,1,NA
,46,2559,22,198,0,-9,NA,2020,1,NA
,46,2560,13,51,-5,-5,NA,2020,1,NA
,46,2561,5,18.5,5,-5,NA,2020,1,NA
,46,2562,2.5,24,-10,5,NA,2020,1,NA
,46,2563,0,13,-5,0,NA,2020,1,NA
,46,2581,109,182.5,-5,-5,NA,2020,1,NA
,46,2582,124,164,0,5,NA,2020,1,NA
,46,2584,121,149,-5,-5,NA,2020,1,NA
,46,2585,113,145,-5,-5,NA,2020,1,NA
,46,2736,59,12,-5,-5,NA,2020,1,NA
,46,2738,53,18,-5,-5,NA,2020,1,NA
,46,2739,129,15,-5,-5,NA,2020,1,NA
,46,2743,199,61,-5,-5,NA,2020,1,NA
,46,2748,125,92,-5,5,NA,2020,1,NA
,46,2752,38,129,-5,-5,NA,2020,1,NA
,46,2753,42,26.5,5,5,NA,2020,1,NA
,46,2754,168,165.5,-5,-5,NA,2020,1,NA
,46,2755,117,80,-5,-5,NA,2020,1,NA
,46,2756,74,65,-5,-5,NA,2020,1,NA
,46,885,40,12,-5,5,2020,NA,0,NA
,46,886,53,10,0,-5,2020,NA,0,NA
,46,892,28,27,17,3,2020,NA,0,NA
,46,894,33,42,-10,10,2020,NA,0,NA
,46,923,115,65,10,0,2020,NA,0,dead
,46,929,110,85,0,-5,2020,NA,0,dead
,46,930,105,84,-10,0,2020,NA,0,dead
,46,934,100,105,-10,-10,2020,NA,0,dead
,47,2555,17,194,-5,-5,NA,2020,1,NA
,50,1049,10,185,-10,-10,2020,NA,0,NA
