"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2015,1,"1","Ivesia gordonii","Ivesia gordonii",0,20,100,-10,-10,0,0,1.4,2,0,0,1,,,
2015,1,"10","Ivesia gordonii","Ivesia gordonii",0,185,94,-10,0,1,1,0,0,0,0,1,,,
2015,1,"1050","LUPARG","Lupinus argenteus",0,53,175,-10,-10,0,0,2.1,2.5,0,1,1,,,
2015,1,"1051","SENCRA","Senecio crassulus",0,15,180,-10,-10,0,0,0.5,1.4,0,1,1,,,"alternate branching"
2015,1,"1052","Ivesia gordonii","Ivesia gordonii",0,190,25,-10,-10,0,0,0.5,0.5,0,1,1,,,
2015,1,"1053","Ivesia gordonii","Ivesia gordonii",0,195,25,-10,-10,0,0,0.5,0.5,0,1,1,,,
2015,1,"1054","Ivesia gordonii","Ivesia gordonii",0,190,36,-10,-10,0,0,0.6,0.5,0,1,1,,,
2015,1,"1055","Ivesia gordonii","Ivesia gordonii",0,200,33,-10,-10,0,0,0.6,0.7,0,1,1,,,
2015,1,"1056","Ivesia gordonii","Ivesia gordonii",0,195,24,10,0,0,0,0.4,0.5,0,1,1,,,
2015,1,"1057","Ivesia gordonii","Ivesia gordonii",0,186,21,-10,-10,0,0,0.6,0.8,0,1,1,,,
2015,1,"1058","Ivesia gordonii","Ivesia gordonii",0,183,45,-10,-10,0,0,0.4,0.4,0,1,1,,,
2015,1,"1059","Heterotheca villosa","Heterotheca villosa",0,180,46,-10,-10,0,0,1.3,2,0,1,1,,,
2015,1,"1060","Ivesia gordonii","Ivesia gordonii",0,172,61,-5,-5,0,0,0.4,0.4,0,1,1,,,
2015,1,"1061","Ivesia gordonii","Ivesia gordonii",0,171,65,-5,-5,0,0,0.4,0.3,0,1,1,,,
2015,1,"1063","LUPARG","Lupinus argenteus",0,195,100,-10,-10,0,0,1.4,2.5,0,1,1,,,
2015,1,"1064","AGOGLA","Ivesia gordonii",1,195,95,-10,-10,0,0,0.5,1.4,0,1,1,,,"Maybe SENCRA"
2015,1,"1065","Ivesia gordonii","Ivesia gordonii",0,180,140,-10,-10,0,0,2,0.5,0,1,3,0.5,0.5,
2015,1,"1066","Ivesia gordonii","Ivesia gordonii",0,180,150,-10,-10,0,0,0.5,0.5,0,1,1,,,
2015,1,"1067","Ivesia gordonii","Ivesia gordonii",0,200,180,-10,-10,0,0,2,2,0,0,1,,,
2015,1,"1068","Ivesia gordonii","Ivesia gordonii",0,199,155,-10,-10,0,0,0.5,0.7,0,1,1,,,
2015,1,"1069","Ivesia gordonii","Ivesia gordonii",0,196,146,10,0,0,0,0.5,0.4,0,1,1,,,
2015,1,"1070","Ivesia gordonii","Ivesia gordonii",0,200,155,10,0,0,0,0.5,0.5,0,1,1,,,
2015,1,"1071","Senecio crassulus","Senecio crassulus",0,197,187,-5,0,0,0,6,5.5,0,0,1,,,
2015,1,"11","Ivesia gordonii","Ivesia gordonii",0,195,93,-10,-10,0,0,8.5,4,0,0,1,,,
2015,1,"12","Ivesia gordonii","Ivesia gordonii",0,195,122,-10,-10,0,0,12,6,5,0,1,,,
2015,1,"13","Ivesia gordonii","Ivesia gordonii",0,192,126,-10,-10,0,0,9.5,5,0,0,1,,,
2015,1,"14","Lupinus argenteus","Lupinus argenteus",0,20,130,10,0,0,0,29,12,0,0,1,,,
2015,1,"15","Ivesia gordonii","Ivesia gordonii",0,195,144,-10,-10,0,0,18,6,23,0,1,,,
2015,1,"1551","AGOGLA","Senecio crassulus",1,179,152,-10,-10,0,0,1,1.8,0,1,1,,,"maybe SENCRA"
2015,1,"16","Ivesia gordonii","Ivesia gordonii",0,198,165,-10,-10,0,0,21,4,17,0,1,,,
2015,1,"2","Ivesia gordonii","Ivesia gordonii",0,7,169,-10,-10,0,0,5.5,3.5,0,0,1,,,
2015,1,"3","Ivesia gordonii","Ivesia gordonii",0,104,19,-10,-10,0,0,14,4,5,0,1,,,
2015,1,"4","Ivesia gordonii","Ivesia gordonii",0,102,26,-10,-10,0,0,9,4,4,0,1,,,
2015,1,"5","Ivesia gordonii","Ivesia gordonii",0,153,8,-10,-10,0,0,15,5,15,0,1,,,
2015,1,"6","Ivesia gordonii","Ivesia gordonii",0,127,55,-10,-10,0,0,13,5,7,0,1,,,
2015,1,"7","Ivesia gordonii","Ivesia gordonii",0,198,25,-10,-10,0,0,13.5,8,2,0,1,,,
2015,1,"8","Ivesia gordonii","Ivesia gordonii",0,194,53,-10,-10,0,0,11,4,3,0,1,,,
2015,1,"9","Ivesia gordonii","Ivesia gordonii",0,177,85,-10,-10,0,0,11,3.5,6,0,1,,,
2015,2,"17","Ivesia gordonii","Ivesia gordonii",0,101,171,-5,-5,0,0,1.9,2,0,0,1,,,
2015,3,"19","Ivesia gordonii","Ivesia gordonii",0,66,104,-10,-10,0,0,1.1,0.9,0,0,1,,,
2015,3,"2365","Eriogonum umbellatum","Eriogonum umbellatum",0,104,125,-10,-10,0,0,37,4,84,0,1,,,
2015,5,"1072","Lupinus argenteus","Lupinus argenteus",0,25,125,-10,-10,0,0,21,8,0,0,1,,,
2015,5,"1073","Lupinus argenteus","Lupinus argenteus",0,50,80,-10,-10,0,0,7,5,0,0,1,,,
2015,5,"1074","Lupinus argenteus","Lupinus argenteus",0,50,85,-10,-10,0,0,9,6,0,0,1,,,
2015,5,"1076","Lupinus argenteus","Lupinus argenteus",0,42,150,-10,-10,0,0,6.5,3.5,0,0,1,,,
2015,5,"1077","Lupinus argenteus","Lupinus argenteus",0,67,135,-10,-10,0,0,6,4,0,0,1,,,
2015,5,"1078","Lupinus argenteus","Lupinus argenteus",0,67,140,-10,-10,0,0,9.5,4,0,0,1,,,
2015,5,"1079","Lupinus argenteus","Lupinus argenteus",0,73,145,-10,-10,0,0,9,3.5,0,0,1,,,
2015,5,"1080","Lupinus argenteus","Lupinus argenteus",0,80,193,-10,-10,0,0,4.5,4,0,0,1,,,
2015,5,"1081","Lupinus argenteus","Lupinus argenteus",0,45,181,-10,-10,0,0,6,5.5,0,0,1,,,
2015,5,"1552","LUPARG","Lupinus argenteus",0,60,86,-10,-10,0,0,3.5,2,0,0,1,,,"2 stems"
2015,5,"1553","LUPARG","Lupinus argenteus",0,70,83,-10,-10,0,0,6,4,0,0,1,,,"1 stem"
2015,5,"1554","CHADOU","Chaenactis douglasii",0,112,37,-10,-10,0,0,2.5,2,0,0,1,,,
2015,5,"1555","CHADOU","Chaenactis douglasii",0,170,130,-10,-10,0,0,2,1,0,0,1,,,
2015,5,"1556","CHADOU","Chaenactis douglasii",0,179,125,10,10,0,0,3,3.5,0,0,1,,,
2015,5,"1557","LUPARG","Lupinus argenteus",0,77,199,-10,-10,0,0,2.5,2.5,0,0,1,,,
2015,5,"20","Lupinus argenteus","Lupinus argenteus",0,25,28,-10,-10,0,0,15,7,0,0,1,,,"4 stems"
2015,5,"21","Lupinus argenteus","Lupinus argenteus",0,33,40,-10,0,0,0,24,14,6,0,1,,,
2015,5,"22","Lupinus argenteus","Lupinus argenteus",0,48,60,-10,-10,0,0,9,4,0,0,1,,,
