"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2018,1,"1050","Lupinus argenteus","Lupinus argenteus",0,53,175,-10,-10,0,0,24,8,3,0,1,,,
2018,1,"1053","Ivesia gordonii","Ivesia gordonii",0,195,25,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,1,"1056","Ivesia gordonii","Ivesia gordonii",0,195,24,10,0,1,1,0,0,0,0,1,,,"dead"
2018,1,"1057","Ivesia gordonii","Ivesia gordonii",0,186,21,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,1,"1060","Ivesia gordonii","Ivesia gordonii",0,172,61,-5,-5,0,0,5,4,0,0,1,,,
2018,1,"1061","Ivesia gordonii","Ivesia gordonii",0,171,65,-5,-5,0,0,6,3.5,1,0,1,,,
2018,1,"1063","Lupinus argenteus","Lupinus argenteus",0,195,100,-10,-10,0,0,8,4,0,0,1,,,
2018,1,"1069","Ivesia gordonii","Ivesia gordonii",0,196,146,10,0,0,0,2,2.5,0,0,1,,,
2018,1,"1071","Senecio crassulus","Senecio crassulus",0,197,187,-5,0,0,0,2.8,2,0,0,1,,,"3 stems"
2018,1,"1742","Ivesia gordonii","Ivesia gordonii",0,3,171,-10,-10,0,0,13,4,0,0,1,,,"CR 3/6/21: Corrected position from (20,100) to (3,172)based on the 2019 field data. Confirmed in photos that there was not a tag for 1742 around (20,100), and that following the correctiong there were the correct number of tags in the top right, but I could but I could not read the 1742 tag number"
2018,1,"1744","Ivesia gordonii","Ivesia gordonii",0,194,32,5,0,0,0,9,4,2,0,1,,,
2018,1,"2","Ivesia gordonii","Ivesia gordonii",0,7,169,-10,-10,1,1,0,0,0,0,1,,,"dead, tag lost"
2018,1,"2205","Ivesia gordonii","Ivesia gordonii",0,12.5,165,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,1,"2364","Lupinus argenteus","Lupinus argenteus",0,179,50,-10,-10,0,0,11,4.5,0,0,1,,,
2018,2,"17","Ivesia gordonii","Ivesia gordonii",0,101,171,-5,-5,0,0,6.5,5,2,0,1,,,"looks sick"
2018,3,"19","Ivesia gordonii","Ivesia gordonii",0,66,104,-10,-10,0,0,3.5,2.5,0,0,1,,,
2018,3,"2365","Eriogonum umbellatum","Eriogonum umbellatum",0,104,125,-10,-10,0,0,43,4,51,0,1,,,"equals 2365 (new tag; old tag lost), 2020 note: merge worked added a '1' in the tag should not exist column, just in case"
2018,5,"1072","Lupinus argenteus","Lupinus argenteus",0,25,125,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"1079","Lupinus argenteus","Lupinus argenteus",0,73,145,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"1080","Lupinus argenteus","Lupinus argenteus",0,80,193,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"1552","Lupinus argenteus","Lupinus argenteus",0,60,86,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"1557","Lupinus argenteus","Lupinus argenteus",0,77,199,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"1751","Agoseris glauca","Agoseris glauca",0,115,39,10,-10,0,0,8.5,6.5,2,0,1,,,
2018,5,"2179","Lupinus argenteus","Lupinus argenteus",0,7.5,96,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"2180","Lupinus argenteus","Lupinus argenteus",0,21,99,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"2181","Lupinus argenteus","Lupinus argenteus",0,51,123,-10,-10,1,1,0,0,0,0,1,,,"dead, tag missing"
2018,5,"2182","Lupinus argenteus","Lupinus argenteus",0,52,182,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"2183","Lupinus argenteus","Lupinus argenteus",0,81,135,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"2184","Lupinus argenteus","Lupinus argenteus",0,110,179,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"2185","Phacelia hastata","Phacelia hastata",0,164,98,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"2186","Elymus lanceolatus","Elymus lanceolatus",0,174,108,-10,-10,0,0,11,18,1,0,1,,,
2018,5,"2187","Elymus lanceolatus","Elymus lanceolatus",0,183,107,-10,-10,0,0,11,20,1,0,1,,,
2018,5,"2188","Eriogonum umbellatum","Eriogonum umbellatum",0,111,29,-10,-10,1,1,0,0,0,0,1,,,"dead"
2018,5,"2189","Heterotheca villosa","Heterotheca villosa",0,130,52,-10,-10,1,1,0,0,0,0,1,,,"dead"
