"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2021,1,"1060","Ivesia gordonii","Ivesia gordonii",0,172,61,-5,-5,0,0,13.5,3.5,2,0,1,,,
2021,1,"1061","Ivesia gordonii","Ivesia gordonii",0,171,65,-5,-5,0,0,15,4.5,3,0,1,,,
2021,1,"1069","Ivesia gordonii","Ivesia gordonii",0,196,146,10,0,0,0,8.5,3,0,0,1,,,
2021,1,"1071","Senecio crassulus","Senecio crassulus",0,197,187,-5,0,1,0,0,0,0,0,1,,,
2021,1,"1742","Ivesia gordonii","Ivesia gordonii",0,3,171,-10,-10,0,0,12,3,0,0,1,,,
2021,1,"1744","Ivesia gordonii","Ivesia gordonii",0,194,32,5,0,0,0,15,4,3,0,1,,,
2021,1,"2523","Lupinus argenteus","Lupinus argenteus",0,64.5,160,-5,-5,0,0,18,7.5,7,0,1,,,"New y position"
2021,2,"17","Ivesia gordonii","Ivesia gordonii",0,101,171,-5,-5,0,0,13,5,7,0,1,,,
2021,3,"19","Ivesia gordonii","Ivesia gordonii",0,66,104,-10,-10,0,0,8.5,2.5,2,0,1,,,
2021,3,"2365","Eriogonum umbellatum","Eriogonum umbellatum",0,104,125,-10,-10,0,0,40,4.5,93,0,1,,,
2021,3,"2526","Eriogonum umbellatum","Eriogonum umbellatum",0,92,109,-10,0,1,0,0,0,0,0,1,,,
2021,3,"2527","Eriogonum umbellatum","Eriogonum umbellatum",0,102.5,109,0,-5,1,0,0,0,0,0,1,,,
2021,3,"2757","Ivesia gordonii","Ivesia gordonii",0,97,129,0,10,1,0,0,0,0,0,1,,,
2021,5,"1751","Agoseris glauca","Agoseris glauca",0,115,39,10,-10,1,0,0,0,0,0,1,,,
2021,5,"2186","Elymus lanceolatus","Elymus lanceolatus",0,174,108,-10,-10,0,0,12.5,16,2,0,1,,,
2021,5,"2187","Elymus lanceolatus","Elymus lanceolatus",0,183,107,-10,-10,0,0,8.5,14,0,0,1,,,
2021,5,"2367","Eriogonum umbellatum","Eriogonum umbellatum",0,169,112,-10,-10,0,0,52,3,122,0,1,,,"Has ant nest"
2021,5,"2531","Eriogonum umbellatum","Eriogonum umbellatum",0,116,50,10,0,1,0,0,0,0,0,1,,,
2021,5,"2532","Eriogonum umbellatum","Eriogonum umbellatum",0,177,80,0,-5,1,0,0,0,0,0,1,,,
2021,5,"26","Eriogonum umbellatum","Eriogonum umbellatum",0,113,48,-10,-10,0,0,34,3,36,0,1,,,"has ant nest"
2021,5,"2758","Eriogonum umbellatum","Eriogonum umbellatum",0,15,3,-5,-5,0,0,1.4,1,0,0,1,,,
2021,5,"2861","Elymus lanceolatus","Elymus lanceolatus",0,165,110,-10,-10,0,0,1,2.5,0,1,1,,,
2021,5,"41","Elymus lanceolatus","Elymus lanceolatus",0,184,115,5,5,0,0,8.5,18,2,0,1,,,
2021,6,"1089","Ivesia gordonii","Ivesia gordonii",0,112,40,-10,-10,0,0,11.5,3.5,11,0,1,,,
2021,6,"1558","Elymus lanceolatus","Elymus lanceolatus",0,121,63,-10,-10,0,0,21,20,4,0,1,,,
2021,6,"1754","Ivesia gordonii","Ivesia gordonii",0,170,2,-10,-10,0,0,10,4.5,1,0,1,,,
2021,6,"1755","Ivesia gordonii","Ivesia gordonii",0,71,50.5,-10,-10,0,0,15,5,4,0,1,,,
2021,6,"1756","Ivesia gordonii","Ivesia gordonii",0,14,165,-10,-10,0,0,20,6,2,0,1,,,
2021,6,"1757","Senecio crassulus","Senecio crassulus",0,17,134,-10,-10,1,0,0,0,0,0,1,,,
2021,6,"2204","Ivesia gordonii","Ivesia gordonii",0,164,98,-10,-10,0,0,10.5,3.5,2,0,1,,,"very prostrate form"
2021,6,"2434","Ivesia gordonii","Ivesia gordonii",0,110,37,-10,-10,1,0,0,0,0,0,1,,,
2021,6,"2541","Senecio crassulus","Senecio crassulus",1,147,162,-10,-10,1,0,0,0,0,0,1,,,
2021,6,"2542","Ivesia gordonii","Ivesia gordonii",0,50,145,-5,-5,1,0,0,0,0,0,1,,,
2021,6,"2862","Ivesia gordonii","Ivesia gordonii",0,34,112,-10,-10,0,0,2,1.2,0,1,1,,,
2021,6,"44","Eriogonum umbellatum","Eriogonum umbellatum",0,124,53,-10,-10,0,0,32,2.5,4,0,1,,,
2021,6,"45","Elymus lanceolatus","Elymus lanceolatus",0,116,55,-10,0,0,0,15.5,18,1,0,1,,,"2 CLUMPS"
2021,6,"46","Elymus lanceolatus","Elymus lanceolatus",0,124,50,10,0,0,0,18,22,5,0,1,,,
2021,6,"49","Ivesia gordonii","Ivesia gordonii",0,149,166,-10,-10,0,0,18,5,7,0,1,,,
2021,8,"2203","Senecio crassulus","Senecio crassulus",0,187,69,-10,-10,0,0,11.5,10,0,0,1,,,
2021,8,"2520","Eriogonum umbellatum","Eriogonum umbellatum",0,112,162,-5,-5,0,0,22.5,1.5,34,0,1,,,
2021,8,"2863","Phacelia hastata","Phacelia hastata",0,160,169,-10,-10,0,0,3,0.5,0,1,1,,,
2021,8,"2864","Phacelia hastata","Phacelia hastata",0,166,186,-10,-10,0,0,2,0.5,0,1,1,,,
2021,8,"55","Ivesia gordonii","Ivesia gordonii",0,32,135,-10,-10,0,0,10,4.5,0,0,1,,,"Ant nest"
2021,8,"78","Eriogonum umbellatum","Eriogonum umbellatum",0,185,65,-10,-10,0,0,41,3,39,0,1,,,
2021,8,"79","Ivesia gordonii","Ivesia gordonii",0,190,80,10,0,0,0,26.5,5.5,15,0,1,,,"Ant nest"
2021,8,"81","Ivesia gordonii","Ivesia gordonii",0,96,83,-10,-10,0,0,17.5,8.5,2,0,1,,,"ant nest"
2021,9,"1093","Ivesia gordonii","Ivesia gordonii",0,40,12,-10,-10,0,0,12,4,0,0,1,,,
2021,9,"1094","Lupinus argenteus","Lupinus argenteus",0,192,68,-10,-10,0,0,30,10.5,10,0,1,,,
2021,9,"1766","Chaenactis douglasii","Chaenactis douglasii",0,193,76,-10,-10,1,0,0,0,0,0,1,,,"Prob buried. Did not find tag."
2021,9,"1767","Ivesia gordonii","Ivesia gordonii",0,200,65,-10,-10,0,0,7.5,3.5,1,0,1,,,
2021,9,"2536","Ivesia gordonii","Ivesia gordonii",0,190,67,0,-5,1,0,0,0,0,0,1,,,
2021,9,"86","Elymus lanceolatus","Elymus lanceolatus",0,186,140,-10,-10,0,0,11.5,20,5,0,1,,,
2021,9,"87","Ivesia gordonii","Ivesia gordonii",0,189,76,-10,-10,0,0,14.5,7.5,6,0,1,,,"Ant nest"
2021,9,"88","Heterotheca villosa","Heterotheca villosa",0,184,17,-10,-10,0,0,9,3,5,0,1,,,
2021,10,"108","Elymus lanceolatus","Elymus lanceolatus",0,101,52,-10,-10,0,0,22,22,2,0,1,,,
2021,10,"112","Ivesia gordonii","Ivesia gordonii",0,119,89,-10,-10,0,0,16,5.5,0,0,1,,,
2021,10,"114","Eriogonum umbellatum","Eriogonum umbellatum",0,101,103,-10,-10,0,0,14,2.5,4,0,1,,,"ant nest"
2021,10,"115","Ivesia gordonii","Ivesia gordonii",0,97,110,-10,-10,0,0,20,6.5,5,0,1,,,"ant nest"
2021,10,"1782","Elymus lanceolatus","Elymus lanceolatus",0,76,33,-10,-10,0,0,28,31.5,13,0,1,,,
