"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2020,6,"46","Elymus lanceolatus","Elymus lanceolatus",0,124,50,10,0,0,0,26,18,0,0,1,,,
2020,6,"49","Ivesia gordonii","Ivesia gordonii",0,149,166,-10,-10,0,0,19,6.5,7,0,1,,,
2020,6,"2541","Senecio crassulus","Senecio crassulus",1,147,162,-10,-10,0,0,0.6,2.5,0,1,1,,,"NA"
2020,6,"2542","Ivesia gordonii","Ivesia gordonii",0,50,145,-5,-5,0,0,0.9,0.8,0,1,1,,,"NA"
2020,6,"2543","Eriogonum umbellatum","Eriogonum umbellatum",0,29,14,-5,-5,1,1,0,0,0,1,1,,,"dead"
2020,6,"2544","Eriogonum umbellatum","Eriogonum umbellatum",0,45,0,0,5,1,1,0,0,0,1,1,,,"dead"
2020,6,"2545","Unk","NA NA",1,119,45,10,-10,1,1,0,0,0,1,1,,,"dead"
2020,8,"1761","Chaenactis douglasii","Chaenactis douglasii",0,166,165,0,-10,1,1,0,0,0,0,1,,,"dead"
2020,8,"2203","Senecio crassulus","Senecio crassulus",0,187,69,-10,-10,0,0,9,9,0,0,1,,,
2020,8,"2436","Heterotheca villosa","Heterotheca villosa",1,160,191,10,0,1,1,0,0,0,0,1,,,"dead"
2020,8,"2437","Heterotheca villosa","Heterotheca villosa",1,155,185,0,10,1,1,0,0,0,0,1,,,"dead"
2020,8,"2438","Heterotheca villosa","Heterotheca villosa",1,151,189,-10,0,1,1,0,0,0,0,1,,,"dead"
2020,8,"2439","Heterotheca villosa","Heterotheca villosa",1,164,166,10,0,1,1,0,0,0,0,1,,,"dead"
2020,8,"2440","Heterotheca villosa","Heterotheca villosa",1,161,168,-10,-10,1,1,0,0,0,0,1,,,"dead"
2020,8,"2441","Heterotheca villosa","Heterotheca villosa",1,159,169,-12,0,1,1,0,0,0,0,1,,,"dead"
