"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2016,1,"1","Ivesia gordonii","Ivesia gordonii",0,20,100,-10,-10,0,FALSE,2,4.5,0,0,1,,,
2016,1,"1050","Lupinus argenteus","Lupinus argenteus",0,53,175,-10,-10,0,FALSE,4.5,3.7,0,0,1,,,
2016,1,"1051","Senecio crassulus","Senecio crassulus",0,15,180,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,1,"1052","Ivesia gordonii","Ivesia gordonii",0,190,25,-10,-10,0,FALSE,1.9,5.2,0,0,1,,,
2016,1,"1053","Ivesia gordonii","Ivesia gordonii",0,195,25,-10,-10,0,FALSE,1.8,1.2,0,0,1,,,
2016,1,"1054","Ivesia gordonii","Ivesia gordonii",0,190,36,-10,-10,0,FALSE,0.7,1,0,0,1,,,
2016,1,"1055","Ivesia gordonii","Ivesia gordonii",0,200,33,-10,-10,0,FALSE,2.4,1.5,0,0,1,,,
2016,1,"1056","Ivesia gordonii","Ivesia gordonii",0,195,24,10,0,0,FALSE,0.5,0.5,0,0,1,,,
2016,1,"1057","Ivesia gordonii","Ivesia gordonii",0,186,21,-10,-10,0,FALSE,0.5,0.5,0,0,1,,,
2016,1,"1058","Ivesia gordonii","Ivesia gordonii",0,183,45,-10,-10,0,FALSE,1.2,1,0,0,1,,,
2016,1,"1059","Heterotheca villosa","Heterotheca villosa",0,180,46,-10,-10,0,FALSE,4.2,3.7,0,0,1,,,
2016,1,"1060","Ivesia gordonii","Ivesia gordonii",0,172,61,-5,-5,0,FALSE,0.8,0.9,0,0,1,,,"new offset"
2016,1,"1061","Ivesia gordonii","Ivesia gordonii",0,171,65,-5,-5,0,FALSE,1.5,1.3,0,0,1,,,"new offset"
2016,1,"1062","Ivesia gordonii","Ivesia gordonii",0,180,80,5,0,0,TRUE,0,0,0,0,1,,,
2016,1,"1063","Lupinus argenteus","Lupinus argenteus",0,195,100,-10,-10,0,FALSE,7.5,6.9,0,0,1,,,
2016,1,"1064","Ivesia gordonii","Ivesia gordonii",0,195,95,-10,-10,0,FALSE,0.5,0.6,0,0,1,,,"wrong taxon in 2015"
2016,1,"1065","Ivesia gordonii","Ivesia gordonii",0,180,140,-10,-10,0,FALSE,2.6,2,0,0,3,1,1,
2016,1,"1066","Ivesia gordonii","Ivesia gordonii",0,180,150,-10,-10,0,FALSE,0.5,0.5,0,0,1,,,
2016,1,"1067","Ivesia gordonii","Ivesia gordonii",0,200,180,-10,-10,0,FALSE,1,1,0,0,2,0.5,0.5,
2016,1,"1068","Ivesia gordonii","Ivesia gordonii",0,199,155,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,1,"1069","Ivesia gordonii","Ivesia gordonii",0,196,146,10,0,0,FALSE,1.9,1,0,0,1,,,
2016,1,"1070","Ivesia gordonii","Ivesia gordonii",0,200,155,10,0,1,TRUE,0,0,0,0,1,,,
2016,1,"1071","Senecio crassulus","Senecio crassulus",0,197,187,-5,0,0,FALSE,6.9,5.6,0,0,1,,,
2016,1,"11","Ivesia gordonii","Ivesia gordonii",0,195,93,-10,-10,0,FALSE,10.3,6,1,0,1,,,
2016,1,"12","Ivesia gordonii","Ivesia gordonii",0,195,122,-10,-10,0,FALSE,13,6.2,8,0,1,,,
2016,1,"13","Ivesia gordonii","Ivesia gordonii",0,192,126,-10,-10,0,FALSE,8.5,7.2,1,0,1,,,
2016,1,"14","Lupinus argenteus","Lupinus argenteus",0,20,130,10,0,0,FALSE,26,15,0,0,1,,,
2016,1,"15","Ivesia gordonii","Ivesia gordonii",0,195,144,-10,-10,0,FALSE,18.4,6.4,21,0,1,,,
2016,1,"1551","Senecio crassulus","Senecio crassulus",0,179,152,-10,-10,0,FALSE,3,3.3,0,0,1,,,
2016,1,"16","Ivesia gordonii","Ivesia gordonii",0,198,165,-10,-10,0,FALSE,19,6.3,10,0,1,,,"2 fingers rule!"
2016,1,"1742","Ivesia gordonii","Ivesia gordonii",0,3,171,-10,-10,0,FALSE,0.5,0.5,0,1,1,,,
