"","Viola praemorsa","Arnica latifolia","Arenaria congesta","Heterotheca villosa","Pseudocymopterus montanus","Agoseris glauca","Senecio crassulus","Achnatherum lettermanii","Ivesia gordonii","Valeriana acutiloba","Indet indet","Chaenactis douglasii","Poa stenantha","Penstemon whippleanus","Elymus lanceolatus","Carex siccata","Lupinus argenteus","Phacelia hastata","Eriogonum umbellatum"
"Plot 1",0,0,0,1,0,0,5,0,31,0,0,0,0,0,0,0,4,0,1
"Plot 2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 5",0,0,0,1,0,1,0,0,2,0,0,3,0,0,1,0,16,0,5
"Plot 6",0,0,0,0,0,0,1,0,15,0,0,0,0,0,3,0,0,0,1
"Plot 7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,0,2,0,6,0,0,2,0,0,0,0,10,1,2
"Plot 9",0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0
"Plot 10",0,0,0,1,0,0,0,0,4,0,0,2,0,0,2,0,44,0,1
"Plot 11",0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,1
"Plot 12",0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1
"Plot 13",0,0,0,3,0,0,0,0,0,0,0,1,0,0,10,0,0,0,7
"Plot 14",0,0,0,2,0,0,0,0,1,0,0,1,0,0,13,0,2,0,3
"Plot 15",0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,44,0,5
"Plot 16",0,1,0,0,0,6,6,0,4,0,0,0,0,0,2,0,42,2,8
"Plot 17",0,0,0,3,0,1,0,0,0,0,0,0,0,0,8,0,18,0,1
"Plot 18",0,0,0,1,0,0,0,0,6,0,0,0,0,0,2,0,1,0,1
"Plot 19",0,0,0,6,0,0,3,0,27,0,0,0,0,0,3,0,4,0,14
"Plot 20",0,0,11,9,1,4,4,1,16,0,0,4,1,2,6,0,26,1,24
"Plot 21",0,0,0,3,0,0,1,4,2,0,0,0,1,0,2,0,1,4,6
"Plot 22",0,0,1,1,0,2,0,0,1,0,0,0,0,1,3,0,1,3,5
"Plot 23",0,0,0,2,0,1,0,0,4,0,0,0,0,0,3,0,4,0,3
"Plot 24",0,0,0,2,1,1,4,0,0,0,0,3,0,0,10,0,1,0,7
"Plot 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"Plot 27",0,0,1,4,0,7,1,1,6,0,0,0,0,0,9,0,0,0,12
"Plot 28",0,0,1,3,1,2,1,0,21,0,0,1,0,0,9,0,1,5,12
"Plot 29",0,0,0,1,0,0,0,0,1,0,0,3,0,0,8,0,20,0,5
"Plot 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Plot 31",0,0,0,0,0,1,0,4,0,0,0,0,0,0,7,0,1,1,6
"Plot 32",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,2
"Plot 33",0,0,0,8,0,5,0,2,14,0,0,1,7,0,7,0,22,2,10
"Plot 34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,4
"Plot 36",0,3,0,4,0,5,1,3,2,0,0,0,0,0,3,0,19,0,6
"Plot 37",0,0,0,7,0,4,1,1,39,0,0,0,1,0,0,0,42,0,6
"Plot 38",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"Plot 39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Plot 40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2
"Plot 41",0,6,3,4,1,1,6,3,3,0,0,0,0,0,1,0,30,4,7
"Plot 42",0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,0,32,0,3
"Plot 43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 45",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
"Plot 46",9,1,19,40,0,29,60,1,22,0,0,1,0,1,9,43,48,8,41
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0
"Plot 48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
"Plot 50",0,1,0,2,0,0,1,0,7,0,0,0,0,0,2,0,1,0,6
