"","Viola praemorsa","Arnica latifolia","Arenaria congesta","Heterotheca villosa","Pseudocymopterus montanus","Agoseris glauca","Senecio crassulus","Achnatherum lettermanii","Ivesia gordonii","Valeriana acutiloba","Indet indet","Chaenactis douglasii","Poa stenantha","Penstemon whippleanus","Elymus lanceolatus","Carex siccata","Lupinus argenteus","Phacelia hastata","Eriogonum umbellatum"
"Plot 1",0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,3,0,0
"Plot 2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,2
"Plot 6",0,0,0,0,0,0,1,0,7,0,0,0,0,0,3,0,0,0,1
"Plot 7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,1,0,2
"Plot 9",0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0
"Plot 10",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,11,1,1
"Plot 11",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,1
"Plot 12",0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1
"Plot 13",0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,1,7
"Plot 14",0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,0,0,0,3
"Plot 15",0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,4,0,5
"Plot 16",0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,4
"Plot 17",0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,4,0,1
"Plot 18",0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1
"Plot 19",0,0,0,4,0,0,0,0,23,0,0,1,0,0,4,0,8,0,13
"Plot 20",0,0,10,1,0,0,1,1,11,0,0,2,1,1,6,0,2,1,9
"Plot 21",0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,4
"Plot 22",0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,2,4
"Plot 23",0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,1,0,3
"Plot 24",0,0,0,0,0,1,1,0,0,0,0,1,0,0,13,0,0,0,5
"Plot 27",0,0,1,0,0,1,0,1,4,0,0,0,0,0,7,0,0,0,6
"Plot 28",0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,1,6
"Plot 29",0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,1,0,1
"Plot 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Plot 31",0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,1,2
"Plot 32",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,2
"Plot 33",0,0,0,3,0,1,2,2,7,0,0,1,3,0,6,0,4,1,6
"Plot 34",0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,4
"Plot 36",0,4,0,0,0,1,1,3,2,0,0,0,0,0,2,0,0,0,4
"Plot 37",0,0,0,4,0,0,1,0,21,0,0,0,1,0,0,0,9,0,4
"Plot 39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Plot 40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
"Plot 41",0,4,5,3,0,0,1,2,1,0,0,0,0,0,2,0,1,2,2
"Plot 42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"Plot 45",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 46",2,1,18,6,0,17,22,1,8,0,0,0,0,0,4,44,1,5,13
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Plot 49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Plot 50",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
