"","Viola praemorsa","Arnica latifolia","Arenaria congesta","Heterotheca villosa","Pseudocymopterus montanus","Agoseris glauca","Senecio crassulus","Achnatherum lettermanii","Ivesia gordonii","Valeriana acutiloba","Indet indet","Chaenactis douglasii","Poa stenantha","Penstemon whippleanus","Elymus lanceolatus","Carex siccata","Lupinus argenteus","Phacelia hastata","Eriogonum umbellatum"
"Plot 1",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0
"Plot 2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 5",0,0,0,2,0,0,0,0,3,0,0,3,0,0,3,0,11,1,5
"Plot 6",0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,1
"Plot 7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,21,1,2
"Plot 9",0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0
"Plot 10",0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,20,0,1
"Plot 11",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1
"Plot 12",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1
"Plot 13",0,0,0,3,0,0,0,0,0,0,0,1,0,0,11,0,0,0,4
"Plot 14",0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,2,0,2
"Plot 15",0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,36,0,4
"Plot 16",0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,64,1,1
"Plot 17",0,0,0,3,0,0,0,0,1,0,0,0,0,0,7,0,34,0,1
"Plot 18",0,0,0,1,0,0,0,0,8,0,0,0,0,0,2,0,0,0,1
"Plot 19",0,0,0,4,0,0,2,0,19,0,0,0,0,0,3,0,1,0,12
"Plot 20",0,0,6,4,1,2,2,1,12,0,0,3,0,1,14,0,24,1,8
"Plot 21",0,0,0,3,0,0,0,4,3,0,1,0,0,0,2,0,0,1,12
"Plot 22",0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,2,4
"Plot 23",0,0,0,2,0,1,0,0,4,0,0,0,0,0,3,0,3,0,3
"Plot 24",0,0,0,2,0,1,4,0,0,0,0,0,0,0,15,0,1,0,7
"Plot 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"Plot 27",0,0,0,5,0,5,1,1,8,0,0,0,0,0,7,0,0,0,7
"Plot 28",0,1,1,2,1,2,2,0,19,0,0,1,0,0,14,0,1,3,10
"Plot 29",0,0,0,1,0,0,0,0,1,0,0,1,0,0,9,0,35,0,3
"Plot 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Plot 31",0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,1,3
"Plot 32",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2
"Plot 33",0,0,0,6,0,2,0,2,18,0,0,1,5,0,4,0,14,0,10
"Plot 34",0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4
"Plot 35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 36",0,1,0,5,0,1,2,3,3,0,0,0,0,0,3,0,6,0,6
"Plot 37",0,0,0,2,0,0,1,1,13,0,0,0,0,0,0,0,21,0,3
"Plot 38",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Plot 39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Plot 40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1
"Plot 41",0,3,2,3,0,1,1,3,2,0,0,0,0,0,1,0,9,0,2
"Plot 42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2
"Plot 45",0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 46",2,0,5,32,0,13,13,1,8,0,0,0,0,1,7,37,18,2,29
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1
"Plot 50",0,0,0,3,0,0,0,0,9,0,0,0,0,0,1,0,0,1,5
