"","Viola praemorsa","Arnica latifolia","Arenaria congesta","Heterotheca villosa","Pseudocymopterus montanus","Agoseris glauca","Senecio crassulus","Achnatherum lettermanii","Ivesia gordonii","Valeriana acutiloba","Indet indet","Chaenactis douglasii","Poa stenantha","Penstemon whippleanus","Elymus lanceolatus","Carex siccata","Lupinus argenteus","Phacelia hastata","Eriogonum umbellatum"
"Plot 1",0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0
"Plot 2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 5",0,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,15,1,3
"Plot 6",0,0,0,0,0,0,1,0,9,0,0,0,0,0,3,0,0,0,1
"Plot 7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,6,3,2
"Plot 9",0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0
"Plot 10",0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,18,2,1
"Plot 11",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,14,0,1
"Plot 12",0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1
"Plot 13",0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,1,7
"Plot 14",0,0,0,2,0,1,0,0,1,0,0,1,0,0,13,0,0,0,3
"Plot 15",0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,15,1,5
"Plot 16",0,1,0,0,0,3,6,0,3,0,0,0,0,0,2,0,7,1,8
"Plot 17",0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,10,0,1
"Plot 18",0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1
"Plot 19",0,0,0,4,0,0,3,0,25,0,0,0,0,0,4,0,4,0,11
"Plot 20",0,0,10,10,0,3,2,1,14,0,0,3,1,1,7,0,14,3,19
"Plot 21",0,0,0,1,0,0,0,3,3,0,0,0,1,0,0,0,1,1,3
"Plot 22",0,0,1,1,0,2,0,0,1,0,0,2,0,1,4,0,1,4,4
"Plot 23",0,0,0,2,0,1,0,0,4,0,0,0,0,0,3,0,2,0,3
"Plot 24",0,0,0,2,1,1,4,0,0,0,0,2,0,0,9,0,0,0,6
"Plot 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 27",0,0,1,5,0,11,2,1,5,0,0,0,0,0,10,0,0,0,9
"Plot 28",0,1,0,1,0,0,3,0,2,0,0,0,0,0,6,0,0,1,6
"Plot 29",0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,0,4,0,4
"Plot 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Plot 31",0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,1,1,3
"Plot 32",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,2
"Plot 33",0,0,0,8,0,4,2,2,13,0,0,1,7,0,6,0,19,2,8
"Plot 34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,4
"Plot 36",0,6,0,1,0,5,0,3,5,0,0,0,0,0,2,0,8,0,5
"Plot 37",0,0,0,5,0,2,0,1,28,0,0,0,1,0,0,0,24,1,7
"Plot 39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Plot 40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
"Plot 41",0,4,5,4,0,1,6,3,1,0,0,0,0,0,2,0,9,2,5
"Plot 42",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,1
"Plot 46",3,1,12,15,0,22,62,1,10,0,0,0,0,0,4,35,18,5,26
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0
"Plot 49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
"Plot 50",0,1,0,1,0,0,2,0,6,0,0,0,0,0,2,0,1,1,4
