"Plot","Tag","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Year.absent.twice","Year.seedling.dead","Is.seedling","Notes"
1,"1050",53,175,-10,-10,2021,NA,0,"dead"
1,"2364",179,50,-10,-10,2021,NA,0,"dead"
1,"2519",185,90,-10,-10,2021,NA,0,"dead"
5,"2368",24,78,-10,-10,2021,NA,0,"dead"
6,"1086",182,8,-10,-10,2021,NA,0,"dead"
8,"1761",166,165,0,-10,2021,NA,0,"dead"
8,"2436",160,191,10,0,2021,NA,0,"dead + tag missing; tag not found during 2021 tag pull"
8,"2437",155,185,0,10,2021,NA,0,"dead"
8,"2438",151,189,-10,0,2021,NA,0,"dead"
8,"2439",164,166,10,0,2021,NA,0,"dead"
8,"2440",161,168,-10,-10,2021,NA,0,"dead"
8,"2441",159,169,-12,0,2021,NA,0,"dead"
8,"2442",158,171,-10,0,2021,NA,0,"dead"
10,"1108",85,95,-10,-10,2021,NA,0,"dead"
10,"2190",26,67,-10,-10,2021,NA,0,"dead"
10,"2194",81,39,-10,-10,2021,NA,0,"dead"
10,"2195",88,28,-10,-10,2021,NA,0,"dead"
10,"97",55,80,-10,-10,2021,NA,0,"dead"
11,"2209",125,81,-10,-10,2021,NA,0,"dead"
11,"2210",104,56,-10,-10,2021,NA,0,"dead"
11,"2214",72,15,-10,-10,2021,NA,0,"dead"
11,"2443",78,24,-10,-10,2021,NA,0,"dead"
13,"1121",3,30,-10,-10,2021,NA,0,"dead"
13,"136",132,115,-10,-10,2021,NA,0,"dead"
13,"137",135,111,-10,-10,2021,NA,0,"dead"
17,"305",65,1,-5,0,2021,NA,0,"dead"
19,"2234",92,72,-10,-10,2021,NA,0,NA
19,"2375",49,29,-10,-10,2021,NA,0,NA
19,"341",77,28,-10,-10,2021,NA,0,NA
19,"355",105,105,-5,-5,2021,NA,0,NA
19,"356",110,100,5,0,2021,NA,0,NA
20,"1841",189,115,-10,-10,2021,NA,0,"dead tag missing, tag not found during 2021 tag pull"
20,"1848",182,196,10,0,2021,NA,0,NA
20,"1850",164,146,-10,-10,2021,NA,0,NA
20,"2446",12,58,10,-10,2021,NA,0,NA
20,"2447",3,15,-10,0,2021,NA,0,NA
20,"2450",56,48,-5,-5,2021,NA,0,"dead tag missing; tag found and pulled during 2021 tag pull"
20,"2451",165,170,-5,-5,2021,NA,0,NA
20,"2452",110,103,-10,-10,2021,NA,0,NA
20,"395",49,55,5,0,2021,NA,0,NA
21,"2482",26.5,114,-10,-10,2021,NA,0,NA
22,"1211",137,47,-10,-10,2021,NA,0,"tag not found; tag not found during 2021 tag pull"
22,"2484",167,55,0,5,2021,NA,0,"tag missing; tag not found during 2021 tag pull"
24,"1905",188,85,-10,-10,2021,NA,0,NA
24,"2485",180,96,-10,0,2021,NA,0,NA
24,"2486",61.5,197,-5,0,2021,NA,0,NA
24,"2487",122,14,5,5,2021,NA,0,NA
24,"2488",125,7,-5,0,2021,NA,0,NA
24,"498",147,35,-10,-10,2021,NA,0,NA
27,"2489",195,70,-5,-5,2021,NA,0,NA
28,"2390",90,101,-10,-10,2021,NA,0,NA
28,"2490",39,25,-5,0,2021,NA,0,NA
28,"2493",153,149,1,6,2021,NA,0,NA
28,"2494",152,150,0,5,2021,NA,0,NA
28,"590",180,130,-10,-10,2021,NA,0,NA
31,"665",102,14,-10,-10,2021,NA,0,NA
31,"674",163,3,10,0,2021,NA,0,NA
33,"2268",17,76,-10,-10,2021,NA,0,NA
33,"2497",3,40,-1,-7,2021,NA,0,NA
33,"2498",145,189,-5,-5,2021,NA,0,NA
