"Plot","Tag","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Year.absent.twice","Year.seedling.dead","Is.seedling","Notes"
33,"2500",137,190.5,-5,-5,2021,NA,0,NA
33,"2505",28,51,-5,-5,2021,NA,0,"dead tag missing; tag not found during 2021 tag pull"
33,"2506",10,107,0,-5,2021,NA,0,"dead tag missing; tag not found during 2021 tag pull"
33,"729",125,146,-10,-10,2021,NA,0,NA
34,"1264",36,198,-5,-5,2021,NA,0,"dead, Remeasured Aug 16, 2021"
37,"1312",52,200,-10,-10,2021,NA,0,NA
37,"2517",81,71.5,-5,-5,2021,NA,0,NA
40,"835",75,10,0,10,2021,NA,0,"some off plot alive"
41,"856",156,200,10,0,2021,NA,0,NA
46,"1008",185,185,0,2,2021,NA,0,NA
46,"1691",32,130,0,10,2021,NA,0,NA
46,"1703",192,33,-10,-10,2021,NA,0,NA
46,"1706",101,43,-10,-10,2021,NA,0,NA
46,"1708",91,53,0,-10,2021,NA,0,NA
46,"2088",21,117,-10,-10,2021,NA,0,NA
46,"2310",87,60,-10,-10,2021,NA,0,"dead"
46,"2313",90,94,-10,-10,2021,NA,0,"Dead; tag missing; tag not found during 2021 tag pull"
46,"2402",28,132,-10,-10,2021,NA,0,NA
46,"2409",157,192,-10,-10,2021,NA,0,NA
46,"2421",101,127,-10,-10,2021,NA,0,NA
46,"2425",200,127,-10,-10,2021,NA,0,NA
46,"2427",179,82,-10,-10,2021,NA,0,NA
46,"2453",44,18,-5,-5,2021,NA,0,NA
46,"2454",44,15.5,0,-5,2021,NA,0,NA
46,"2456",80,20,-5,-5,2021,NA,0,NA
46,"2458",132,19,-5,-5,2021,NA,0,NA
46,"2460",119,42,-5,-5,2021,NA,0,NA
46,"2461",127,39,-5,0,2021,NA,0,NA
46,"2462",127.5,39.5,-5,0,2021,NA,0,NA
46,"2468",159,121,-5,-5,2021,NA,0,NA
46,"2470",116,108,-5,-5,2021,NA,0,NA
46,"2472",81,78,-5,-5,2021,NA,0,NA
46,"2473",94,86,5,0,2021,NA,0,NA
46,"2475",92,67,-5,-5,2021,NA,0,NA
46,"2477",85,65,-5,-5,2021,NA,0,NA
46,"2479",198,160,0,5,2021,NA,0,NA
46,"2480",184,172,-5,-5,2021,NA,0,"tag missing; tag not found during 2021 tag pull"
46,"895",12,47,-10,-10,2021,NA,0,NA
46,"947",167,55,-15,-10,2021,NA,0,NA
46,"954",190,5,-10,-10,2021,NA,0,NA
46,"984",200,150,-10,-10,2021,NA,0,NA
46,"993",190,165,-10,-10,2021,NA,0,NA
49,"2360",81,172,-10,-10,2021,NA,0,NA
50,"1048",167,82,-10,-10,2021,NA,0,NA
